,sparse_ratio,Run,Extinguished,On Fire,Step
0,0.0,0,222,0.9997979797977115,123
1,0.0,1,250,0.9997979797977115,125
2,0.0,2,245,0.9992929292926612,127
3,0.0,3,230,0.9990909090906411,117
4,0.0,4,250,0.9996969696967014,118
5,0.0,5,170,0.9997979797977115,125
6,0.0,6,254,0.9998989898987215,124
7,0.0,7,200,0.9998989898987215,117
8,0.0,8,274,0.9998989898987215,121
9,0.0,9,226,0.9991919191916512,110
10,0.0,10,255,0.9995959595956914,118
11,0.0,11,303,0.9996969696967014,117
12,0.0,12,198,0.9989898989896311,121
13,0.0,13,252,0.9995959595956914,127
14,0.0,14,197,0.9995959595956914,111
15,0.0,15,199,0.9995959595956914,118
16,0.0,16,199,0.9995959595956914,119
17,0.0,17,279,0.9995959595956914,119
18,0.0,18,168,0.998888888888621,124
19,0.0,19,233,0.9998989898987215,126
20,0.0,20,209,0.9991919191916512,116
21,0.0,21,336,0.9997979797977115,120
22,0.0,22,219,0.9990909090906411,119
23,0.0,23,268,0.9997979797977115,125
24,0.0,24,221,0.9996969696967014,114
25,0.0,25,192,0.9998989898987215,118
26,0.0,26,218,0.9996969696967014,123
27,0.0,27,271,0.9996969696967014,120
28,0.0,28,218,0.9998989898987215,116
29,0.0,29,242,0.9997979797977115,119
30,0.0,30,201,0.9995959595956914,116
31,0.0,31,203,0.9997979797977115,121
32,0.0,32,325,0.9991919191916512,123
33,0.0,33,213,0.9994949494946813,120
34,0.0,34,232,0.9996969696967014,113
35,0.0,35,233,0.9997979797977115,120
36,0.0,36,245,0.9998989898987215,121
37,0.0,37,240,0.9985858585855909,120
38,0.0,38,225,0.9997979797977115,116
39,0.0,39,216,0.9996969696967014,126
40,0.0,40,230,0.9998989898987215,123
41,0.0,41,199,0.9994949494946813,115
42,0.0,42,193,0.9998989898987215,126
43,0.0,43,263,0.998787878787611,121
44,0.0,44,191,0.9992929292926612,123
45,0.0,45,224,0.9995959595956914,125
46,0.0,46,231,0.9992929292926612,118
47,0.0,47,184,0.9994949494946813,126
48,0.0,48,254,0.9998989898987215,124
49,0.0,49,227,0.9996969696967014,122
50,0.041666666666666664,50,352,0.9993939393936713,124
51,0.041666666666666664,51,251,0.9998989898987215,118
52,0.041666666666666664,52,215,0.9994949494946813,119
53,0.041666666666666664,53,214,0.9997979797977115,122
54,0.041666666666666664,54,205,0.9997979797977115,119
55,0.041666666666666664,55,210,0.9998989898987215,127
56,0.041666666666666664,56,250,0.9995959595956914,119
57,0.041666666666666664,57,220,0.9995959595956914,122
58,0.041666666666666664,58,233,0.9994949494946813,131
59,0.041666666666666664,59,197,0.998787878787611,115
60,0.041666666666666664,60,217,0.9994949494946813,116
61,0.041666666666666664,61,246,0.9995959595956914,123
62,0.041666666666666664,62,197,0.9998989898987215,117
63,0.041666666666666664,63,190,0.9996969696967014,116
64,0.041666666666666664,64,246,0.9994949494946813,121
65,0.041666666666666664,65,280,0.9991919191916512,123
66,0.041666666666666664,66,218,0.9998989898987215,120
67,0.041666666666666664,67,211,0.9992929292926612,115
68,0.041666666666666664,68,212,0.9996969696967014,126
69,0.041666666666666664,69,208,0.9994949494946813,125
70,0.041666666666666664,70,175,0.9992929292926612,122
71,0.041666666666666664,71,205,0.9995959595956914,116
72,0.041666666666666664,72,254,0.9997979797977115,123
73,0.041666666666666664,73,161,0.9997979797977115,121
74,0.041666666666666664,74,217,0.9990909090906411,123
75,0.041666666666666664,75,183,0.9997979797977115,115
76,0.041666666666666664,76,306,0.9996969696967014,116
77,0.041666666666666664,77,337,0.9991919191916512,124
78,0.041666666666666664,78,196,0.9996969696967014,121
79,0.041666666666666664,79,237,0.9995959595956914,127
80,0.041666666666666664,80,252,0.9996969696967014,122
81,0.041666666666666664,81,263,0.9992929292926612,123
82,0.041666666666666664,82,279,0.998888888888621,124
83,0.041666666666666664,83,262,0.9994949494946813,121
84,0.041666666666666664,84,225,0.9998989898987215,124
85,0.041666666666666664,85,282,0.9994949494946813,134
86,0.041666666666666664,86,193,0.9997979797977115,127
87,0.041666666666666664,87,222,0.9991919191916512,119
88,0.041666666666666664,88,233,0.998888888888621,120
89,0.041666666666666664,89,210,0.9998989898987215,119
90,0.041666666666666664,90,238,0.998787878787611,120
91,0.041666666666666664,91,213,0.9994949494946813,127
92,0.041666666666666664,92,186,0.9994949494946813,123
93,0.041666666666666664,93,204,0.9996969696967014,122
94,0.041666666666666664,94,199,0.9997979797977115,119
95,0.041666666666666664,95,194,0.9997979797977115,124
96,0.041666666666666664,96,262,0.9990909090906411,123
97,0.041666666666666664,97,186,0.9998989898987215,124
98,0.041666666666666664,98,263,0.9996969696967014,118
99,0.041666666666666664,99,255,0.9997979797977115,110
100,0.08333333333333333,100,243,0.9992929292926612,121
101,0.08333333333333333,101,218,0.9992929292926612,120
102,0.08333333333333333,102,216,0.9996969696967014,122
103,0.08333333333333333,103,276,0.998686868686601,115
104,0.08333333333333333,104,279,0.9995959595956914,122
105,0.08333333333333333,105,194,0.9994949494946813,126
106,0.08333333333333333,106,279,0.9997979797977115,123
107,0.08333333333333333,107,252,0.9992929292926612,119
108,0.08333333333333333,108,215,0.9998989898987215,125
109,0.08333333333333333,109,281,0.9997979797977115,120
110,0.08333333333333333,110,354,0.9996969696967014,124
111,0.08333333333333333,111,165,0.9997979797977115,122
112,0.08333333333333333,112,214,0.9993939393936713,124
113,0.08333333333333333,113,228,0.9995959595956914,118
114,0.08333333333333333,114,251,0.9993939393936713,124
115,0.08333333333333333,115,219,0.9995959595956914,131
116,0.08333333333333333,116,291,0.9995959595956914,137
117,0.08333333333333333,117,173,0.9997979797977115,123
118,0.08333333333333333,118,245,0.9997979797977115,119
119,0.08333333333333333,119,215,0.9994949494946813,118
120,0.08333333333333333,120,240,0.998888888888621,127
121,0.08333333333333333,121,169,0.998888888888621,125
122,0.08333333333333333,122,227,0.9997979797977115,125
123,0.08333333333333333,123,227,0.9991919191916512,127
124,0.08333333333333333,124,196,0.9994949494946813,126
125,0.08333333333333333,125,268,0.9998989898987215,124
126,0.08333333333333333,126,244,0.9994949494946813,118
127,0.08333333333333333,127,313,0.9993939393936713,124
128,0.08333333333333333,128,229,0.9990909090906411,121
129,0.08333333333333333,129,174,0.9997979797977115,130
130,0.08333333333333333,130,202,0.9993939393936713,119
131,0.08333333333333333,131,166,0.9995959595956914,116
132,0.08333333333333333,132,224,0.9996969696967014,127
133,0.08333333333333333,133,261,0.9985858585855909,125
134,0.08333333333333333,134,187,0.9995959595956914,118
135,0.08333333333333333,135,220,0.9997979797977115,122
136,0.08333333333333333,136,218,0.9995959595956914,126
137,0.08333333333333333,137,209,0.9996969696967014,116
138,0.08333333333333333,138,251,0.9997979797977115,122
139,0.08333333333333333,139,251,0.9996969696967014,122
140,0.08333333333333333,140,238,0.9993939393936713,123
141,0.08333333333333333,141,169,0.9997979797977115,129
142,0.08333333333333333,142,219,0.9992929292926612,124
143,0.08333333333333333,143,244,0.9997979797977115,126
144,0.08333333333333333,144,199,0.9991919191916512,131
145,0.08333333333333333,145,229,0.9993939393936713,128
146,0.08333333333333333,146,222,0.9994949494946813,116
147,0.08333333333333333,147,217,0.9995959595956914,122
148,0.08333333333333333,148,227,0.9995959595956914,113
149,0.08333333333333333,149,198,0.9990909090906411,121
150,0.125,150,267,0.9995959595956914,122
151,0.125,151,315,0.998686868686601,129
152,0.125,152,167,0.9992929292926612,123
153,0.125,153,184,0.9997979797977115,124
154,0.125,154,206,0.9990909090906411,126
155,0.125,155,234,0.9997979797977115,125
156,0.125,156,276,0.9998989898987215,129
157,0.125,157,214,0.9990909090906411,124
158,0.125,158,244,0.9994949494946813,128
159,0.125,159,200,0.9993939393936713,124
160,0.125,160,207,0.9996969696967014,126
161,0.125,161,209,0.9998989898987215,122
162,0.125,162,241,0.9989898989896311,125
163,0.125,163,227,0.9992929292926612,121
164,0.125,164,260,0.9994949494946813,125
165,0.125,165,205,0.9994949494946813,132
166,0.125,166,211,0.9997979797977115,124
167,0.125,167,248,0.9990909090906411,127
168,0.125,168,336,0.9995959595956914,135
169,0.125,169,238,0.9995959595956914,122
170,0.125,170,289,0.998888888888621,122
171,0.125,171,233,0.9993939393936713,122
172,0.125,172,226,0.9991919191916512,119
173,0.125,173,259,0.9998989898987215,126
174,0.125,174,323,0.9996969696967014,125
175,0.125,175,261,0.9982828282825608,125
176,0.125,176,333,0.9989898989896311,124
177,0.125,177,243,0.9997979797977115,124
178,0.125,178,239,0.9996969696967014,127
179,0.125,179,218,0.9995959595956914,123
180,0.125,180,261,0.9997979797977115,119
181,0.125,181,197,0.9995959595956914,121
182,0.125,182,198,0.9997979797977115,126
183,0.125,183,220,0.9990909090906411,128
184,0.125,184,201,0.9994949494946813,121
185,0.125,185,210,0.9994949494946813,128
186,0.125,186,260,0.9989898989896311,126
187,0.125,187,230,0.9997979797977115,128
188,0.125,188,235,0.998888888888621,126
189,0.125,189,222,0.9997979797977115,121
190,0.125,190,204,0.9997979797977115,129
191,0.125,191,252,0.9994949494946813,130
192,0.125,192,209,0.9997979797977115,126
193,0.125,193,202,0.9997979797977115,127
194,0.125,194,203,0.9996969696967014,129
195,0.125,195,271,0.9995959595956914,134
196,0.125,196,263,0.9980808080805407,119
197,0.125,197,167,0.9997979797977115,121
198,0.125,198,174,0.9990909090906411,123
199,0.125,199,226,0.9995959595956914,120
200,0.16666666666666666,200,189,0.9996969696967014,122
201,0.16666666666666666,201,210,0.998686868686601,127
202,0.16666666666666666,202,214,0.9996969696967014,121
203,0.16666666666666666,203,213,0.9990909090906411,128
204,0.16666666666666666,204,219,0.9996969696967014,128
205,0.16666666666666666,205,280,0.9992929292926612,133
206,0.16666666666666666,206,226,0.9995959595956914,128
207,0.16666666666666666,207,224,0.9985858585855909,128
208,0.16666666666666666,208,202,0.9992929292926612,128
209,0.16666666666666666,209,273,0.9992929292926612,125
210,0.16666666666666666,210,216,0.9997979797977115,129
211,0.16666666666666666,211,263,0.9993939393936713,124
212,0.16666666666666666,212,240,0.9998989898987215,127
213,0.16666666666666666,213,221,0.9996969696967014,127
214,0.16666666666666666,214,224,0.9992929292926612,124
215,0.16666666666666666,215,206,0.9983838383835708,138
216,0.16666666666666666,216,211,0.9992929292926612,128
217,0.16666666666666666,217,164,0.9997979797977115,121
218,0.16666666666666666,218,308,0.9995959595956914,132
219,0.16666666666666666,219,241,0.9995959595956914,126
220,0.16666666666666666,220,256,0.9998989898987215,125
221,0.16666666666666666,221,190,0.9992929292926612,127
222,0.16666666666666666,222,230,0.9994949494946813,127
223,0.16666666666666666,223,179,0.9997979797977115,126
224,0.16666666666666666,224,214,0.9985858585855909,136
225,0.16666666666666666,225,207,0.9994949494946813,130
226,0.16666666666666666,226,221,0.9992929292926612,121
227,0.16666666666666666,227,235,0.9962626262623598,121
228,0.16666666666666666,228,201,0.9995959595956914,128
229,0.16666666666666666,229,331,0.9995959595956914,132
230,0.16666666666666666,230,260,0.9979797979795306,126
231,0.16666666666666666,231,211,0.9995959595956914,124
232,0.16666666666666666,232,250,0.9980808080805407,139
233,0.16666666666666666,233,199,0.9992929292926612,134
234,0.16666666666666666,234,204,0.9991919191916512,124
235,0.16666666666666666,235,218,0.9993939393936713,129
236,0.16666666666666666,236,231,0.9995959595956914,124
237,0.16666666666666666,237,259,0.9996969696967014,125
238,0.16666666666666666,238,270,0.9992929292926612,126
239,0.16666666666666666,239,209,0.9993939393936713,124
240,0.16666666666666666,240,186,0.9997979797977115,127
241,0.16666666666666666,241,283,0.9993939393936713,118
242,0.16666666666666666,242,238,0.9995959595956914,129
243,0.16666666666666666,243,208,0.9993939393936713,127
244,0.16666666666666666,244,231,0.9995959595956914,127
245,0.16666666666666666,245,223,0.9996969696967014,122
