,truck_strategy,Run,Extinguished,On Fire,Step
0,1.0,0,117,0.444285714285692,135
1,1.0,1,103,0.3630158730158624,158
2,1.0,2,120,0.4261904761904565,139
3,1.0,3,129,0.5377777777777422,161
4,1.0,4,152,0.5607936507936119,167
5,1.0,5,289,0.5907936507936076,240
6,1.0,6,150,0.45539682539680154,158
7,1.0,7,80,0.4292063492063291,136
8,1.0,8,134,0.4371428571428359,139
9,1.0,9,116,0.4901587301587013,162
10,1.0,10,148,0.5311111111110765,187
11,1.0,11,145,0.5676190476190077,166
12,1.0,12,158,0.32746031746031196,128
13,1.0,13,134,0.48333333333330547,171
14,1.0,14,136,0.585396825396783,208
15,1.0,15,106,0.3898412698412554,135
16,1.0,16,144,0.4069841269841101,134
17,1.0,17,128,0.43476190476188387,194
18,1.0,18,138,0.47666666666663976,160
19,1.0,19,123,0.5817460317459898,170
