,wind_strength,Run,Extinguished,On Fire,Step
0,0.0,0,235,240,19
1,0.0,1,151,155,12
2,0.0,2,146,151,13
3,0.0,3,292,306,23
4,0.0,4,205,210,18
5,0.0,5,195,200,17
6,0.0,6,182,187,16
7,0.0,7,311,317,22
8,0.0,8,285,291,20
9,0.0,9,273,289,23
10,0.0,10,129,133,12
11,0.0,11,297,303,21
12,0.0,12,146,150,14
13,0.0,13,220,225,18
14,0.0,14,155,160,13
15,0.0,15,211,216,18
16,0.0,16,216,221,18
17,0.0,17,217,222,19
18,0.0,18,166,171,14
19,0.0,19,214,219,19
20,0.0,20,173,178,15
21,0.0,21,251,255,19
22,0.0,22,170,175,17
23,0.0,23,379,388,25
24,0.0,24,207,212,19
25,0.0,25,263,275,21
26,0.0,26,227,234,19
27,0.0,27,176,181,15
28,0.0,28,232,237,19
29,0.0,29,281,293,20
30,0.0,30,191,196,17
31,0.0,31,152,157,13
32,0.0,32,139,143,12
33,0.0,33,139,144,13
34,0.0,34,217,222,19
35,0.0,35,196,201,18
36,0.0,36,162,167,13
37,0.0,37,213,218,18
38,0.0,38,139,143,12
39,0.0,39,199,204,18
40,0.0,40,146,151,13
41,0.0,41,203,208,18
42,0.0,42,156,161,13
43,0.0,43,142,147,13
44,0.0,44,250,256,19
45,0.0,45,199,204,17
46,0.0,46,326,331,23
47,0.0,47,196,201,18
48,0.0,48,278,281,20
49,0.0,49,198,203,18
50,0.6122448979591837,50,140,145,13
51,0.6122448979591837,51,158,163,13
52,0.6122448979591837,52,218,222,18
53,0.6122448979591837,53,187,192,17
54,0.6122448979591837,54,239,247,18
55,0.6122448979591837,55,212,217,18
56,0.6122448979591837,56,174,179,16
57,0.6122448979591837,57,296,302,24
58,0.6122448979591837,58,166,171,14
59,0.6122448979591837,59,164,169,14
60,0.6122448979591837,60,203,208,19
61,0.6122448979591837,61,191,197,16
62,0.6122448979591837,62,106,109,12
63,0.6122448979591837,63,239,246,18
64,0.6122448979591837,64,226,231,19
65,0.6122448979591837,65,275,279,23
66,0.6122448979591837,66,130,134,12
67,0.6122448979591837,67,157,162,13
68,0.6122448979591837,68,172,177,18
69,0.6122448979591837,69,213,218,18
70,0.6122448979591837,70,215,220,19
71,0.6122448979591837,71,155,160,13
72,0.6122448979591837,72,144,148,14
73,0.6122448979591837,73,195,200,17
74,0.6122448979591837,74,244,250,20
75,0.6122448979591837,75,250,254,21
76,0.6122448979591837,76,174,179,16
77,0.6122448979591837,77,155,160,13
78,0.6122448979591837,78,213,218,16
79,0.6122448979591837,79,196,201,17
80,0.6122448979591837,80,176,181,16
81,0.6122448979591837,81,209,213,18
82,0.6122448979591837,82,295,303,21
83,0.6122448979591837,83,146,150,13
84,0.6122448979591837,84,181,186,15
85,0.6122448979591837,85,155,157,15
86,0.6122448979591837,86,154,159,13
87,0.6122448979591837,87,175,180,15
88,0.6122448979591837,88,209,214,19
89,0.6122448979591837,89,213,215,17
90,0.6122448979591837,90,229,234,20
91,0.6122448979591837,91,141,146,13
92,0.6122448979591837,92,230,234,18
93,0.6122448979591837,93,154,158,13
94,0.6122448979591837,94,185,191,14
95,0.6122448979591837,95,138,143,13
96,0.6122448979591837,96,185,190,14
97,0.6122448979591837,97,296,309,23
98,0.6122448979591837,98,178,183,16
99,0.6122448979591837,99,202,207,17
100,1.2244897959183674,100,141,141,14
101,1.2244897959183674,101,121,122,14
102,1.2244897959183674,102,108,109,14
103,1.2244897959183674,103,130,132,12
104,1.2244897959183674,104,112,113,12
105,1.2244897959183674,105,175,180,14
106,1.2244897959183674,106,180,186,18
107,1.2244897959183674,107,119,120,13
108,1.2244897959183674,108,159,164,15
109,1.2244897959183674,109,153,157,13
110,1.2244897959183674,110,141,143,12
111,1.2244897959183674,111,133,138,13
112,1.2244897959183674,112,146,149,12
113,1.2244897959183674,113,143,148,13
114,1.2244897959183674,114,169,174,14
115,1.2244897959183674,115,141,143,15
116,1.2244897959183674,116,148,152,13
117,1.2244897959183674,117,144,149,13
118,1.2244897959183674,118,235,238,20
119,1.2244897959183674,119,143,148,13
120,1.2244897959183674,120,161,165,14
121,1.2244897959183674,121,151,152,15
122,1.2244897959183674,122,149,154,15
123,1.2244897959183674,123,117,118,14
124,1.2244897959183674,124,96,97,12
125,1.2244897959183674,125,172,174,16
126,1.2244897959183674,126,135,137,12
127,1.2244897959183674,127,116,120,12
128,1.2244897959183674,128,86,86,11
129,1.2244897959183674,129,143,144,14
130,1.2244897959183674,130,259,268,20
131,1.2244897959183674,131,120,119,15
132,1.2244897959183674,132,232,238,20
133,1.2244897959183674,133,140,143,15
134,1.2244897959183674,134,161,167,14
135,1.2244897959183674,135,132,134,14
136,1.2244897959183674,136,114,115,14
137,1.2244897959183674,137,130,131,15
138,1.2244897959183674,138,111,113,12
139,1.2244897959183674,139,141,146,13
140,1.2244897959183674,140,143,147,13
141,1.2244897959183674,141,156,160,14
142,1.2244897959183674,142,101,101,13
143,1.2244897959183674,143,134,138,13
144,1.2244897959183674,144,161,166,17
145,1.2244897959183674,145,71,71,11
146,1.2244897959183674,146,122,125,12
147,1.2244897959183674,147,148,149,15
148,1.2244897959183674,148,123,123,14
149,1.2244897959183674,149,161,163,15
150,1.836734693877551,150,145,146,15
151,1.836734693877551,151,108,109,14
152,1.836734693877551,152,80,80,12
153,1.836734693877551,153,111,112,14
154,1.836734693877551,154,116,119,12
155,1.836734693877551,155,72,73,11
156,1.836734693877551,156,55,55,10
157,1.836734693877551,157,137,138,15
158,1.836734693877551,158,112,115,13
159,1.836734693877551,159,94,93,13
160,1.836734693877551,160,74,74,11
161,1.836734693877551,161,67,67,11
162,1.836734693877551,162,64,64,10
163,1.836734693877551,163,163,164,15
164,1.836734693877551,164,50,50,10
165,1.836734693877551,165,105,106,13
166,1.836734693877551,166,69,69,11
167,1.836734693877551,167,176,178,14
168,1.836734693877551,168,145,145,15
169,1.836734693877551,169,83,83,12
170,1.836734693877551,170,125,125,14
171,1.836734693877551,171,133,144,13
172,1.836734693877551,172,149,163,14
173,1.836734693877551,173,116,118,12
174,1.836734693877551,174,139,144,15
175,1.836734693877551,175,160,165,14
176,1.836734693877551,176,143,148,14
177,1.836734693877551,177,134,135,14
178,1.836734693877551,178,128,132,13
179,1.836734693877551,179,152,157,14
180,1.836734693877551,180,56,56,10
181,1.836734693877551,181,230,232,19
182,1.836734693877551,182,122,123,14
183,1.836734693877551,183,113,114,14
184,1.836734693877551,184,49,49,10
185,1.836734693877551,185,90,90,11
186,1.836734693877551,186,145,146,15
187,1.836734693877551,187,124,129,13
188,1.836734693877551,188,70,70,11
189,1.836734693877551,189,77,77,12
190,1.836734693877551,190,92,93,11
191,1.836734693877551,191,114,114,13
192,1.836734693877551,192,160,165,15
193,1.836734693877551,193,126,130,12
194,1.836734693877551,194,70,70,10
195,1.836734693877551,195,102,103,13
196,1.836734693877551,196,114,115,14
197,1.836734693877551,197,133,134,15
198,1.836734693877551,198,141,145,14
199,1.836734693877551,199,164,165,16
200,2.4489795918367347,200,40,40,9
201,2.4489795918367347,201,50,50,9
202,2.4489795918367347,202,54,54,10
203,2.4489795918367347,203,77,77,11
204,2.4489795918367347,204,96,97,12
205,2.4489795918367347,205,54,54,9
206,2.4489795918367347,206,72,72,11
207,2.4489795918367347,207,90,91,14
208,2.4489795918367347,208,102,103,13
209,2.4489795918367347,209,46,46,9
210,2.4489795918367347,210,52,52,9
211,2.4489795918367347,211,50,49,9
212,2.4489795918367347,212,42,42,9
213,2.4489795918367347,213,114,115,14
214,2.4489795918367347,214,81,82,11
215,2.4489795918367347,215,54,54,10
216,2.4489795918367347,216,66,66,12
217,2.4489795918367347,217,76,77,11
218,2.4489795918367347,218,56,56,10
219,2.4489795918367347,219,58,57,10
220,2.4489795918367347,220,44,44,8
221,2.4489795918367347,221,90,91,11
222,2.4489795918367347,222,86,85,13
223,2.4489795918367347,223,88,89,14
224,2.4489795918367347,224,42,42,8
225,2.4489795918367347,225,68,68,10
226,2.4489795918367347,226,47,47,10
227,2.4489795918367347,227,88,88,12
228,2.4489795918367347,228,57,57,10
229,2.4489795918367347,229,60,59,11
230,2.4489795918367347,230,103,104,13
231,2.4489795918367347,231,82,87,12
232,2.4489795918367347,232,85,84,11
233,2.4489795918367347,233,97,98,13
234,2.4489795918367347,234,59,59,10
235,2.4489795918367347,235,71,70,11
236,2.4489795918367347,236,90,91,12
237,2.4489795918367347,237,44,43,8
238,2.4489795918367347,238,74,76,11
239,2.4489795918367347,239,104,104,12
240,2.4489795918367347,240,89,90,12
241,2.4489795918367347,241,45,45,9
242,2.4489795918367347,242,57,56,10
243,2.4489795918367347,243,84,85,12
244,2.4489795918367347,244,94,94,12
245,2.4489795918367347,245,92,92,14
246,2.4489795918367347,246,75,75,12
247,2.4489795918367347,247,59,59,11
248,2.4489795918367347,248,74,74,13
249,2.4489795918367347,249,56,56,11
250,3.0612244897959187,250,71,70,11
251,3.0612244897959187,251,63,62,11
252,3.0612244897959187,252,67,66,11
253,3.0612244897959187,253,59,58,10
254,3.0612244897959187,254,33,32,8
255,3.0612244897959187,255,20,19,5
256,3.0612244897959187,256,73,72,12
257,3.0612244897959187,257,25,24,6
258,3.0612244897959187,258,55,54,10
259,3.0612244897959187,259,47,46,10
260,3.0612244897959187,260,36,35,7
261,3.0612244897959187,261,65,64,10
262,3.0612244897959187,262,75,74,12
263,3.0612244897959187,263,29,28,7
264,3.0612244897959187,264,64,63,11
265,3.0612244897959187,265,54,53,10
266,3.0612244897959187,266,51,50,10
267,3.0612244897959187,267,44,43,9
268,3.0612244897959187,268,55,54,10
269,3.0612244897959187,269,40,39,8
270,3.0612244897959187,270,111,111,14
271,3.0612244897959187,271,48,47,9
272,3.0612244897959187,272,60,59,11
273,3.0612244897959187,273,30,29,7
274,3.0612244897959187,274,51,50,10
275,3.0612244897959187,275,36,35,8
276,3.0612244897959187,276,47,46,9
277,3.0612244897959187,277,34,33,8
278,3.0612244897959187,278,37,36,8
