,steps_to_extinguishment,Run,Extinguished,On Fire,Step
0,1.0,0,237,0.9994949494946813,150
1,1.0,1,241,0.9994949494946813,147
2,1.0,2,190,0.998888888888621,143
3,1.0,3,175,0.9996969696967014,147
4,1.0,4,208,0.9996969696967014,138
5,1.0,5,227,0.9978787878785206,146
6,1.0,6,340,0.9992929292926612,157
7,1.0,7,194,0.9990909090906411,137
8,1.0,8,167,0.9975757575754904,142
9,1.0,9,223,0.9992929292926612,144
10,1.0,10,217,0.998888888888621,145
11,1.0,11,219,0.9974747474744804,140
12,1.0,12,243,0.9993939393936713,142
13,1.0,13,260,0.9997979797977115,140
14,1.0,14,184,0.9993939393936713,128
15,1.0,15,209,0.998888888888621,136
16,1.0,16,148,0.9995959595956914,146
17,1.0,17,218,0.998686868686601,139
18,1.0,18,264,0.9992929292926612,137
19,1.0,19,172,0.9991919191916512,141
20,1.0,20,176,0.9991919191916512,146
21,1.0,21,174,0.9994949494946813,144
22,1.0,22,228,0.9983838383835708,134
23,1.0,23,241,0.998686868686601,136
24,1.0,24,252,0.9980808080805407,141
25,1.0,25,217,0.9995959595956914,129
26,1.0,26,202,0.9985858585855909,136
27,1.0,27,186,0.9996969696967014,142
28,1.0,28,182,0.998888888888621,137
29,1.0,29,279,0.998686868686601,149
30,1.0,30,268,0.998888888888621,138
31,1.0,31,290,0.9979797979795306,143
32,1.0,32,246,0.9971717171714503,142
33,1.0,33,168,0.9994949494946813,141
34,1.0,34,282,0.998686868686601,138
35,1.0,35,168,0.9992929292926612,149
36,1.0,36,143,0.998787878787611,139
37,1.0,37,238,0.9989898989896311,145
38,1.0,38,225,0.9992929292926612,135
39,1.0,39,212,0.9982828282825608,147
40,1.0,40,241,0.9973737373734703,139
41,1.0,41,209,0.9993939393936713,131
42,1.0,42,226,0.9990909090906411,132
43,1.0,43,288,0.9994949494946813,135
44,1.0,44,184,0.9993939393936713,144
45,1.0,45,213,0.998888888888621,146
46,1.0,46,161,0.9993939393936713,144
47,1.0,47,205,0.9991919191916512,140
48,1.0,48,204,0.998787878787611,130
49,1.0,49,256,0.9991919191916512,134
50,2.0,50,98,0.9997979797977115,142
51,2.0,51,103,0.9994949494946813,131
