,wind_strength,Run,Extinguished,On Fire,Step
0,0.0,0,204,209,18
1,0.0,1,157,162,13
2,0.0,2,146,150,14
3,0.0,3,200,205,18
4,0.0,4,288,294,22
5,0.0,5,299,303,22
6,0.0,6,161,165,13
7,0.0,7,313,325,24
8,0.0,8,330,339,24
9,0.0,9,188,193,18
10,10.0,10,9,8,5
11,10.0,11,8,7,4
12,10.0,12,12,11,4
13,10.0,13,6,5,3
14,10.0,14,12,11,4
15,10.0,15,9,8,4
16,10.0,16,9,8,5
17,10.0,17,12,11,4
18,10.0,18,10,9,4
19,10.0,19,9,8,5
20,20.0,20,4,3,3
21,20.0,21,4,3,3
22,20.0,22,4,3,3
23,20.0,23,4,3,3
24,20.0,24,4,3,3
25,20.0,25,4,3,3
26,20.0,26,4,3,3
27,20.0,27,4,3,3
28,20.0,28,4,3,3
29,20.0,29,4,3,3
30,30.0,30,3,2,3
31,30.0,31,2,1,2
32,30.0,32,3,2,3
33,30.0,33,2,1,2
34,30.0,34,3,2,3
35,30.0,35,2,1,2
36,30.0,36,2,1,2
37,30.0,37,3,2,3
38,30.0,38,2,1,2
39,30.0,39,3,2,3
