,truck_strategy,Run,Extinguished,On Fire,Step
0,1.0,0,316,0.12174603174603335,78
1,1.0,1,311,0.1946031746031785,78
2,1.0,2,417,0.28952380952380946,120
3,1.0,3,271,0.08793650793650848,68
4,1.0,4,351,0.16428571428571723,90
5,1.0,5,461,0.2684126984127014,124
6,1.0,6,310,0.12793650793650974,80
7,1.0,7,400,0.1477777777777802,84
8,1.0,8,338,0.14888888888889135,83
9,1.0,9,359,0.20126984126984537,84
10,1.0,10,287,0.20761904761905192,71
11,1.0,11,402,0.1726984126984159,101
12,1.0,12,402,0.17015873015873328,91
13,1.0,13,540,0.27888888888889035,123
14,1.0,14,0,0.0,6
15,1.0,15,388,0.17476190476190803,82
16,1.0,16,468,0.29603174603174504,118
17,1.0,17,296,0.10952380952381074,73
18,1.0,18,295,0.1153968253968268,74
19,1.0,19,370,0.23365079365079877,92
20,1.0,20,329,0.15460317460317724,75
21,1.0,21,334,0.2190476190476237,79
22,1.0,22,232,0.15793650793651068,70
23,1.0,23,222,0.1363492063492084,71
24,1.0,24,465,0.2260317460317509,99
25,1.0,25,346,0.2444444444444499,102
26,1.0,26,343,0.16238095238095526,78
27,1.0,27,356,0.20222222222222636,82
28,1.0,28,278,0.10539682539682649,67
29,1.0,29,339,0.09809523809523896,71
30,1.0,30,561,0.26349206349206716,135
31,1.0,31,480,0.2623809523809562,114
32,1.0,32,379,0.22396825396825878,107
33,1.0,33,604,0.27746031746031913,129
34,1.0,34,279,0.16666666666666968,77
35,1.0,35,427,0.24476190476191023,109
36,1.0,36,357,0.17174603174603492,88
37,1.0,37,329,0.12904761904762088,76
38,1.0,38,296,0.19079365079365457,81
39,1.0,39,314,0.18968253968254342,73
40,1.0,40,301,0.24174603174603712,109
41,1.0,41,474,0.29746031746031626,121
42,1.0,42,414,0.16730158730159034,95
43,1.0,43,423,0.22761904761905255,110
44,1.0,44,304,0.15396825396825659,79
45,1.0,45,334,0.18396825396825753,79
46,1.0,46,335,0.194126984126988,100
47,1.0,47,492,0.2707936507936534,112
48,1.0,48,412,0.21349206349206798,88
49,1.0,49,496,0.2636507936507973,107
