,truck_strategy,Run,Extinguished,On Fire,Step
0,3.0,0,1130,0.3659595959595982,75
1,3.0,1,549,0.13666666666666746,47
2,3.0,2,910,0.23525252525252668,63
3,3.0,3,807,0.1996969696969709,58
4,3.0,4,723,0.2421212121212136,54
5,3.0,5,847,0.21000000000000127,57
6,3.0,6,801,0.19212121212121328,54
7,3.0,7,562,0.15959595959596054,46
8,3.0,8,712,0.1936363636363648,55
9,3.0,9,617,0.16565656565656664,54
10,3.0,10,529,0.15000000000000088,43
11,3.0,11,653,0.15494949494949586,47
12,3.0,12,667,0.17343434343434447,55
13,3.0,13,521,0.14767676767676854,47
14,3.0,14,603,0.14242424242424326,43
15,3.0,15,572,0.15424242424242515,43
16,3.0,16,862,0.2625252525252541,58
17,3.0,17,631,0.13181818181818258,48
18,3.0,18,626,0.16555555555555654,47
19,3.0,19,610,0.1505050505050514,46
20,3.0,20,613,0.15313131313131403,40
21,3.0,21,781,0.19161616161616277,55
22,3.0,22,717,0.18343434343434453,54
23,3.0,23,701,0.17313131313131416,51
24,3.0,24,675,0.16424242424242522,49
25,3.0,25,432,0.11626262626262694,46
26,3.0,26,637,0.1564646464646474,43
27,3.0,27,378,0.11030303030303094,34
28,3.0,28,710,0.15888888888888983,50
29,3.0,29,480,0.11626262626262694,47
30,3.0,30,842,0.23828282828282973,54
31,3.0,31,737,0.24414141414141563,59
32,3.0,32,793,0.17141414141414243,52
33,3.0,33,883,0.2552525252525268,73
34,3.0,34,623,0.1517171717171726,48
35,3.0,35,645,0.17888888888888996,49
36,3.0,36,576,0.16222222222222318,51
37,3.0,37,475,0.12121212121212192,40
38,3.0,38,563,0.15959595959596054,46
39,3.0,39,633,0.1565656565656575,48
40,3.0,40,925,0.3229292929292949,60
41,3.0,41,597,0.14909090909090997,48
42,3.0,42,1009,0.28474747474747647,61
43,3.0,43,367,0.12282828282828355,34
44,3.0,44,819,0.20434343434343558,56
45,3.0,45,528,0.14020202020202102,47
46,3.0,46,537,0.1504040404040413,46
47,3.0,47,785,0.19202020202020317,55
48,3.0,48,549,0.15202020202020292,46
49,3.0,49,668,0.17272727272727376,53
50,3.0,50,822,0.2233333333333347,66
51,3.0,51,566,0.14636363636363722,46
52,3.0,52,848,0.22010101010101144,55
53,3.0,53,544,0.13090909090909167,43
54,3.0,54,698,0.2239393939393953,56
55,3.0,55,818,0.2235353535353549,63
56,3.0,56,827,0.2740404040404057,58
57,3.0,57,708,0.2002020202020214,56
58,3.0,58,474,0.1334343434343442,41
59,3.0,59,538,0.12888888888888964,37
60,3.0,60,1051,0.34474747474747686,67
61,3.0,61,545,0.13565656565656645,45
62,3.0,62,449,0.10878787878787942,41
63,3.0,63,692,0.19515151515151632,57
64,3.0,64,509,0.12939393939394014,44
65,3.0,65,341,0.10070707070707129,32
66,3.0,66,767,0.15818181818181912,56
67,3.0,67,775,0.1876767676767688,52
68,3.0,68,797,0.19555555555555673,55
69,3.0,69,566,0.14686868686868773,49
70,3.0,70,530,0.1510101010101019,49
71,3.0,71,893,0.24959595959596112,57
72,3.0,72,549,0.1380808080808089,43
73,3.0,73,1101,0.28909090909091084,69
74,3.0,74,579,0.15828282828282922,53
75,3.0,75,805,0.2118181818181831,53
76,3.0,76,425,0.1271717171717179,40
77,3.0,77,770,0.21969696969697103,54
78,3.0,78,1034,0.27070707070707234,67
79,3.0,79,701,0.17808080808080914,65
80,3.0,80,665,0.1568686868686878,45
81,3.0,81,263,0.08707070707070756,28
82,3.0,82,897,0.199797979797981,61
83,3.0,83,624,0.14131313131313214,47
84,3.0,84,558,0.15373737373737464,52
85,3.0,85,869,0.2179797979797993,57
86,3.0,86,361,0.10373737373737434,30
87,3.0,87,468,0.11777777777777847,39
88,3.0,88,738,0.2308080808080822,59
89,3.0,89,449,0.13111111111111187,42
90,3.0,90,533,0.14313131313131397,44
91,3.0,91,842,0.23525252525252668,58
92,3.0,92,327,0.09929292929292986,29
93,3.0,93,934,0.21333333333333462,72
94,3.0,94,1082,0.22636363636363774,66
95,3.0,95,674,0.20212121212121334,57
96,3.0,96,741,0.2875757575757593,73
97,3.0,97,453,0.12414141414141487,36
98,3.0,98,781,0.22080808080808215,56
99,3.0,99,603,0.14737373737373824,47
100,3.0,100,327,0.10333333333333393,32
101,3.0,101,379,0.10979797979798044,34
102,3.0,102,711,0.17161616161616264,42
103,3.0,103,478,0.11909090909090979,48
104,3.0,104,905,0.2423232323232338,57
105,3.0,105,804,0.3174747474747494,66
106,3.0,106,323,0.10020202020202078,29
107,3.0,107,833,0.25828282828282983,70
108,3.0,108,465,0.1139393939393946,42
109,3.0,109,623,0.15212121212121302,51
110,3.0,110,507,0.14333333333333417,37
111,3.0,111,680,0.16656565656565755,59
112,3.0,112,1025,0.2671717171717188,76
113,3.0,113,527,0.13141414141414218,49
114,3.0,114,507,0.13121212121212197,41
115,3.0,115,693,0.16656565656565755,58
116,3.0,116,979,0.2563636363636379,66
117,3.0,117,383,0.10333333333333393,36
118,3.0,118,322,0.10101010101010159,29
119,3.0,119,374,0.0957575757575763,33
120,3.0,120,1009,0.342929292929295,62
121,3.0,121,724,0.17414141414141518,55
122,3.0,122,573,0.16111111111111207,51
123,3.0,123,564,0.1503030303030312,49
124,3.0,124,658,0.16606060606060705,52
125,3.0,125,523,0.138181818181819,45
126,3.0,126,359,0.11181818181818247,34
127,3.0,127,509,0.12343434343434416,38
128,3.0,128,549,0.1390909090909099,44
129,3.0,129,572,0.15323232323232414,46
130,3.0,130,1025,0.29696969696969877,77
131,3.0,131,503,0.12838383838383913,40
132,3.0,132,728,0.21060606060606188,56
133,3.0,133,618,0.1576767676767686,50
134,3.0,134,684,0.17181818181818284,51
135,3.0,135,692,0.20101010101010222,54
136,3.0,136,454,0.12484848484848558,44
137,3.0,137,455,0.1136363636363643,41
138,3.0,138,597,0.16202020202020298,61
139,3.0,139,547,0.1508080808080817,48
140,3.0,140,596,0.1637373737373747,46
141,3.0,141,505,0.13040404040404116,45
142,3.0,142,546,0.13505050505050584,40
143,3.0,143,633,0.1513131313131322,50
144,3.0,144,264,0.08252525252525299,28
145,3.0,145,1053,0.27787878787878956,72
146,3.0,146,384,0.1139393939393946,35
147,3.0,147,715,0.19070707070707185,54
148,3.0,148,449,0.12474747474747548,46
149,3.0,149,631,0.1449494949494958,49
150,3.0,150,354,0.09666666666666722,32
151,3.0,151,536,0.1508080808080817,43
152,3.0,152,266,0.08989898989899041,29
153,3.0,153,603,0.1448484848484857,45
154,3.0,154,641,0.164040404040405,48
155,3.0,155,858,0.2697979797979814,66
156,3.0,156,468,0.13030303030303106,45
157,3.0,157,611,0.14919191919192007,49
158,3.0,158,843,0.20222222222222344,57
159,3.0,159,342,0.09303030303030356,34
160,3.0,160,594,0.1517171717171726,49
161,3.0,161,470,0.1263636363636371,38
162,3.0,162,648,0.16797979797979898,51
163,3.0,163,1061,0.3732323232323255,69
164,3.0,164,586,0.16626262626262725,48
165,3.0,165,868,0.27787878787878956,64
166,3.0,166,598,0.14141414141414224,41
167,3.0,167,848,0.18979797979798094,54
168,3.0,168,415,0.10484848484848545,38
169,3.0,169,692,0.16797979797979898,46
170,3.0,170,483,0.12202020202020274,45
171,3.0,171,758,0.24474747474747624,57
172,3.0,172,850,0.19808080808080927,57
173,3.0,173,531,0.12949494949495025,43
174,3.0,174,415,0.11555555555555623,37
175,3.0,175,623,0.15535353535353627,42
176,3.0,176,562,0.15292929292929383,45
177,3.0,177,704,0.17070707070707172,48
178,3.0,178,265,0.08676767676767726,28
179,3.0,179,606,0.1324242424242432,44
180,3.0,180,402,0.10515151515151576,42
181,3.0,181,316,0.09252525252525305,32
182,3.0,182,647,0.1687878787878798,51
183,3.0,183,986,0.27747474747474915,66
184,3.0,184,683,0.17777777777777884,51
185,3.0,185,666,0.15595959595959688,49
186,3.0,186,730,0.23121212121212262,57
187,3.0,187,317,0.0951515151515157,31
188,3.0,188,782,0.2005050505050517,59
189,3.0,189,570,0.14181818181818265,47
190,3.0,190,910,0.3473737373737395,87
191,3.0,191,865,0.30222222222222406,65
192,3.0,192,542,0.1456565656565665,43
193,3.0,193,785,0.2187878787878801,58
194,3.0,194,503,0.14767676767676854,45
195,3.0,195,573,0.15020202020202109,51
196,3.0,196,682,0.1756565656565667,53
197,3.0,197,402,0.10828282828282891,32
198,3.0,198,691,0.19060606060606175,46
199,3.0,199,479,0.15575757575757668,46
200,3.0,200,626,0.13696969696969777,50
201,3.0,201,743,0.20949494949495076,52
202,3.0,202,513,0.12242424242424314,39
203,3.0,203,683,0.17747474747474853,52
204,3.0,204,816,0.19676767676767795,54
205,3.0,205,722,0.32525252525252724,67
206,3.0,206,694,0.16757575757575857,58
207,3.0,207,551,0.15515151515151607,46
208,3.0,208,339,0.11202020202020267,35
209,3.0,209,646,0.17808080808080914,57
210,3.0,210,477,0.1263636363636371,41
211,3.0,211,782,0.20373737373737497,53
212,3.0,212,534,0.13454545454545533,45
213,3.0,213,589,0.14191919191919275,50
214,3.0,214,484,0.13555555555555635,41
215,3.0,215,584,0.1566666666666676,52
216,3.0,216,714,0.18929292929293043,58
217,3.0,217,1082,0.2619191919191935,80
218,3.0,218,450,0.11535353535353603,41
219,3.0,219,732,0.17222222222222325,52
