,density,Run,Extinguished,On Fire,Step
0,0.0,0,0,0,6
1,0.0,1,0,0,6
2,0.0,2,0,0,6
3,0.0,3,0,0,6
4,0.0,4,0,0,6
5,0.0,5,0,0,6
6,0.0,6,0,0,6
7,0.0,7,0,0,6
8,0.0,8,0,0,6
9,0.0,9,0,0,6
10,0.1111111111111111,10,0,0,6
11,0.1111111111111111,11,0,3,10
12,0.1111111111111111,12,0,0,6
13,0.1111111111111111,13,0,0,6
14,0.1111111111111111,14,0,0,6
15,0.1111111111111111,15,0,1,7
16,0.1111111111111111,16,0,4,10
17,0.1111111111111111,17,0,1,7
18,0.1111111111111111,18,0,0,6
19,0.1111111111111111,19,0,0,6
20,0.2222222222222222,20,0,0,6
21,0.2222222222222222,21,0,1,8
22,0.2222222222222222,22,0,2,9
23,0.2222222222222222,23,0,4,16
24,0.2222222222222222,24,0,3,14
25,0.2222222222222222,25,0,1,9
26,0.2222222222222222,26,0,4,17
27,0.2222222222222222,27,0,17,30
28,0.2222222222222222,28,0,1,7
29,0.2222222222222222,29,0,3,14
30,0.3333333333333333,30,0,1,8
31,0.3333333333333333,31,0,0,6
32,0.3333333333333333,32,0,1,8
33,0.3333333333333333,33,0,11,14
34,0.3333333333333333,34,0,5,13
35,0.3333333333333333,35,0,17,33
36,0.3333333333333333,36,0,7,14
37,0.3333333333333333,37,0,11,29
38,0.3333333333333333,38,0,2,9
39,0.3333333333333333,39,0,20,25
40,0.4444444444444444,40,0,365,141
41,0.4444444444444444,41,0,0,6
42,0.4444444444444444,42,0,0,6
43,0.4444444444444444,43,0,47,29
44,0.4444444444444444,44,0,40,20
45,0.4444444444444444,45,0,0,6
46,0.4444444444444444,46,0,342,93
47,0.4444444444444444,47,0,114,52
48,0.4444444444444444,48,0,27,23
49,0.4444444444444444,49,0,312,116
50,0.5555555555555556,50,0,1636,164
51,0.5555555555555556,51,0,1506,146
52,0.5555555555555556,52,0,1076,143
53,0.5555555555555556,53,0,2231,182
54,0.5555555555555556,54,0,2734,172
55,0.5555555555555556,55,0,1,8
56,0.5555555555555556,56,0,1883,143
57,0.5555555555555556,57,0,1442,153
58,0.5555555555555556,58,0,0,6
59,0.5555555555555556,59,0,1593,214
60,0.6666666666666666,60,0,6440,568
61,0.6666666666666666,61,0,6307,442
62,0.6666666666666666,62,0,3978,175
63,0.6666666666666666,63,0,6232,358
64,0.6666666666666666,64,0,6417,458
65,0.6666666666666666,65,0,5470,387
66,0.6666666666666666,66,0,6375,426
67,0.6666666666666666,67,0,5559,402
68,0.6666666666666666,68,0,6386,478
69,0.6666666666666666,69,0,5945,454
70,0.7777777777777777,70,0,7737,278
71,0.7777777777777777,71,0,7739,389
72,0.7777777777777777,72,0,7708,353
73,0.7777777777777777,73,0,7702,323
74,0.7777777777777777,74,0,7614,261
75,0.7777777777777777,75,0,7704,312
76,0.7777777777777777,76,0,7749,322
77,0.7777777777777777,77,0,7697,295
78,0.7777777777777777,78,0,7704,266
79,0.7777777777777777,79,0,7610,294
80,0.8888888888888888,80,0,8870,222
81,0.8888888888888888,81,0,8864,214
82,0.8888888888888888,82,0,8855,205
83,0.8888888888888888,83,0,8879,233
84,0.8888888888888888,84,0,8865,239
85,0.8888888888888888,85,0,8860,218
86,0.8888888888888888,86,0,8870,217
87,0.8888888888888888,87,0,8881,215
88,0.8888888888888888,88,0,8866,215
89,0.8888888888888888,89,0,8857,210
90,1.0,90,0,9991,176
91,1.0,91,0,9994,189
92,1.0,92,0,9994,191
93,1.0,93,0,9991,196
94,1.0,94,0,9991,190
95,1.0,95,0,9983,188
96,1.0,96,0,9995,172
97,1.0,97,0,9987,187
98,1.0,98,0,9996,204
99,1.0,99,0,9989,195
