,num_firetruck,Run,Extinguished,On Fire,Step
0,0,0,0,5574,251
1,0,1,0,5877,256
2,0,2,0,5714,224
3,0,3,0,5816,251
4,0,4,0,5807,254
5,0,5,0,5791,258
6,0,6,0,5738,253
7,0,7,0,5905,241
8,0,8,0,5757,206
9,0,9,0,5864,342
10,0,10,0,5758,228
11,0,11,0,5886,232
12,0,12,0,5899,244
13,0,13,0,5708,262
14,0,14,0,5734,237
15,0,15,0,5882,253
16,0,16,0,5627,261
17,0,17,0,5745,304
18,0,18,0,5776,283
19,0,19,0,5770,261
20,3,20,549,2505,121
21,3,21,362,1527,68
22,3,22,382,1383,67
23,3,23,372,1331,78
24,3,24,396,2869,160
25,3,25,380,1464,91
26,3,26,508,2838,136
27,3,27,369,1426,82
28,3,28,507,2329,124
29,3,29,377,1270,96
30,3,30,758,4149,163
31,3,31,346,1355,65
32,3,32,469,2349,131
33,3,33,368,1274,64
34,3,34,345,1475,74
35,3,35,350,1556,73
36,3,36,359,1358,70
37,3,37,361,1338,68
38,3,38,477,2668,151
39,3,39,354,1354,72
40,6,40,177,223,30
41,6,41,122,128,26
42,6,42,97,117,22
43,6,43,526,619,57
44,6,44,107,121,25
45,6,45,218,227,34
46,6,46,31,40,15
47,6,47,94,127,20
48,6,48,69,82,19
49,6,49,395,460,52
50,6,50,35,35,14
51,6,51,142,156,29
52,6,52,105,115,24
53,6,53,215,256,31
54,6,54,208,221,33
55,6,55,132,155,28
56,6,56,114,142,25
57,6,57,10,10,7
58,6,58,90,99,22
59,6,59,172,191,29
60,9,60,16,15,6
61,9,61,14,13,5
62,9,62,12,11,4
63,9,63,11,10,4
64,9,64,12,11,4
65,9,65,11,10,4
66,9,66,13,12,5
67,9,67,12,11,4
68,9,68,10,9,4
69,9,69,10,9,4
70,9,70,10,9,4
71,9,71,10,9,4
72,9,72,13,12,5
73,9,73,11,10,5
74,9,74,13,12,4
75,9,75,13,12,4
76,9,76,13,12,5
77,9,77,16,15,6
78,9,78,12,11,5
79,9,79,13,12,4
80,12,80,13,12,5
81,12,81,12,11,4
82,12,82,11,10,5
83,12,83,13,12,5
84,12,84,10,9,5
85,12,85,11,10,4
86,12,86,10,9,4
87,12,87,13,12,5
88,12,88,13,12,5
89,12,89,11,10,4
90,12,90,11,10,4
91,12,91,12,11,5
92,12,92,10,9,5
93,12,93,16,15,5
94,12,94,14,13,5
95,12,95,11,10,5
96,12,96,11,10,4
97,12,97,10,9,4
98,12,98,12,11,4
99,12,99,10,9,5
100,15,100,16,15,6
101,15,101,15,14,5
102,15,102,16,15,6
103,15,103,14,13,5
104,15,104,13,12,4
105,15,105,14,13,4
106,15,106,18,17,6
107,15,107,14,13,6
108,15,108,12,11,5
109,15,109,13,12,5
110,15,110,15,14,5
111,15,111,12,11,4
112,15,112,18,17,7
113,15,113,10,9,4
114,15,114,13,12,4
115,15,115,16,15,6
116,15,116,14,13,5
117,15,117,14,13,5
118,15,118,15,14,5
119,15,119,16,15,6
120,18,120,11,10,5
121,18,121,13,12,5
122,18,122,10,9,5
123,18,123,14,13,6
124,18,124,14,13,5
125,18,125,15,14,5
126,18,126,11,10,5
127,18,127,12,11,5
128,18,128,12,11,5
129,18,129,10,9,5
130,18,130,10,9,5
131,18,131,16,15,6
132,18,132,15,14,5
133,18,133,13,12,5
134,18,134,19,18,7
135,18,135,16,15,6
136,18,136,15,14,5
137,18,137,10,9,5
138,18,138,12,11,5
139,18,139,15,14,5
140,22,140,10,9,5
141,22,141,5,4,3
142,22,142,5,4,3
143,22,143,13,12,5
144,22,144,10,9,5
145,22,145,8,7,4
146,22,146,5,4,3
147,22,147,5,4,3
148,22,148,8,7,4
149,22,149,10,9,5
150,22,150,9,8,4
151,22,151,9,8,4
152,22,152,8,7,4
153,22,153,12,11,5
154,22,154,5,4,3
155,22,155,9,8,4
156,22,156,11,10,5
157,22,157,8,7,4
158,22,158,5,4,3
159,22,159,8,7,4
160,25,160,9,8,4
161,25,161,10,9,4
162,25,162,10,9,5
163,25,163,11,10,4
164,25,164,15,14,6
165,25,165,11,10,5
166,25,166,9,8,4
167,25,167,11,10,4
168,25,168,10,9,4
169,25,169,11,10,4
170,25,170,10,9,5
171,25,171,10,9,4
172,25,172,13,12,5
173,25,173,10,9,5
174,25,174,11,10,4
175,25,175,18,17,6
176,25,176,10,9,4
177,25,177,17,16,6
178,25,178,20,19,7
179,25,179,14,13,5
180,28,180,10,9,4
181,28,181,9,8,4
182,28,182,14,13,5
183,28,183,11,10,4
184,28,184,11,10,4
185,28,185,11,10,4
186,28,186,11,10,4
187,28,187,11,10,4
188,28,188,10,9,5
189,28,189,13,12,4
190,28,190,16,15,5
191,28,191,8,7,4
192,28,192,11,10,4
193,28,193,16,15,5
194,28,194,11,10,5
195,28,195,11,10,4
196,28,196,11,10,4
197,28,197,11,10,4
198,28,198,10,9,4
199,28,199,10,9,4
200,31,200,12,11,5
201,31,201,9,8,4
202,31,202,8,7,4
203,31,203,10,9,4
204,31,204,8,7,4
205,31,205,9,8,4
206,31,206,16,15,6
207,31,207,10,9,4
208,31,208,11,10,5
209,31,209,10,9,4
210,31,210,10,9,4
211,31,211,11,10,4
212,31,212,13,12,5
213,31,213,9,8,4
214,31,214,10,9,4
215,31,215,11,10,4
216,31,216,14,13,5
217,31,217,12,11,5
218,31,218,10,9,4
219,31,219,12,11,5
220,34,220,11,10,4
221,34,221,11,10,4
222,34,222,12,11,4
223,34,223,16,15,5
224,34,224,13,12,5
225,34,225,12,11,5
226,34,226,9,8,4
227,34,227,10,9,4
228,34,228,12,11,5
229,34,229,10,9,4
230,34,230,11,10,4
231,34,231,11,10,4
232,34,232,9,8,5
233,34,233,12,11,5
234,34,234,16,15,5
235,34,235,8,7,4
236,34,236,9,8,4
237,34,237,9,8,4
238,34,238,10,9,4
239,34,239,13,12,5
240,37,240,12,11,4
241,37,241,14,13,4
242,37,242,12,11,4
243,37,243,13,12,4
244,37,244,13,12,4
245,37,245,12,11,4
246,37,246,11,10,4
247,37,247,10,9,4
248,37,248,12,11,4
249,37,249,12,11,4
250,37,250,11,10,4
251,37,251,10,9,4
252,37,252,10,9,4
253,37,253,12,11,4
254,37,254,12,11,4
255,37,255,12,11,4
256,37,256,12,11,4
257,37,257,11,10,4
258,37,258,12,11,4
259,37,259,11,10,4
260,41,260,12,11,4
261,41,261,13,12,5
262,41,262,12,11,4
263,41,263,12,11,4
264,41,264,14,13,5
265,41,265,14,13,5
266,41,266,12,11,4
267,41,267,12,11,4
268,41,268,16,15,5
269,41,269,11,10,4
270,41,270,14,13,5
271,41,271,17,16,6
272,41,272,13,12,4
273,41,273,18,17,5
274,41,274,11,10,4
275,41,275,11,10,4
276,41,276,11,10,4
277,41,277,11,10,4
278,41,278,15,14,5
279,41,279,14,13,5
280,44,280,6,5,2
281,44,281,6,5,2
282,44,282,6,5,2
283,44,283,6,5,2
284,44,284,6,5,2
285,44,285,6,5,2
286,44,286,6,5,2
287,44,287,6,5,2
288,44,288,6,5,2
289,44,289,6,5,2
290,44,290,6,5,2
291,44,291,6,5,2
292,44,292,6,5,2
293,44,293,6,5,2
294,44,294,6,5,2
295,44,295,6,5,2
296,44,296,6,5,2
297,44,297,6,5,2
298,44,298,6,5,2
299,44,299,6,5,2
300,47,300,6,5,2
301,47,301,6,5,2
302,47,302,6,5,2
303,47,303,6,5,2
304,47,304,6,5,2
305,47,305,6,5,2
306,47,306,6,5,2
307,47,307,6,5,2
308,47,308,6,5,2
309,47,309,6,5,2
310,47,310,6,5,2
311,47,311,6,5,2
312,47,312,6,5,2
313,47,313,6,5,2
314,47,314,6,5,2
315,47,315,6,5,2
316,47,316,6,5,2
317,47,317,6,5,2
318,47,318,6,5,2
319,47,319,6,5,2
320,50,320,5,4,2
321,50,321,5,4,2
322,50,322,5,4,2
323,50,323,5,4,2
324,50,324,5,4,2
325,50,325,5,4,2
326,50,326,6,5,2
327,50,327,6,5,2
328,50,328,6,5,2
329,50,329,5,4,2
330,50,330,6,5,2
331,50,331,5,4,2
332,50,332,5,4,2
333,50,333,6,5,2
334,50,334,6,5,2
335,50,335,6,5,2
336,50,336,5,4,2
337,50,337,5,4,2
338,50,338,5,4,2
339,50,339,5,4,2
340,53,340,5,4,2
341,53,341,6,5,2
342,53,342,6,5,2
343,53,343,5,4,2
344,53,344,6,5,2
345,53,345,6,5,2
346,53,346,5,4,2
347,53,347,5,4,2
348,53,348,5,4,2
349,53,349,6,5,2
350,53,350,6,5,2
351,53,351,6,5,2
352,53,352,6,5,2
353,53,353,5,4,2
354,53,354,5,4,2
355,53,355,6,5,2
356,53,356,6,5,2
357,53,357,6,5,2
358,53,358,6,5,2
359,53,359,6,5,2
360,56,360,6,5,2
361,56,361,6,5,2
362,56,362,6,5,2
363,56,363,6,5,2
364,56,364,6,5,2
365,56,365,6,5,2
366,56,366,5,4,2
367,56,367,6,5,2
368,56,368,6,5,2
369,56,369,6,5,2
370,56,370,6,5,2
371,56,371,6,5,2
372,56,372,6,5,2
373,56,373,6,5,2
374,56,374,6,5,2
375,56,375,6,5,2
