,wind_strength,Run,Extinguished,On Fire,Step
0,0.0,0,296,311,24
1,0.0,1,305,308,21
2,0.0,2,233,238,20
3,0.0,3,147,151,13
4,0.0,4,145,149,13
5,0.0,5,266,274,21
6,0.0,6,131,136,13
7,0.0,7,203,208,18
8,0.0,8,273,280,20
9,0.0,9,130,134,12
10,0.0,10,202,207,18
11,0.0,11,304,310,23
12,0.0,12,140,145,13
13,0.0,13,223,228,19
14,0.0,14,280,286,22
15,0.0,15,207,212,18
16,0.0,16,176,180,16
17,0.0,17,218,223,18
18,0.0,18,166,171,14
19,0.0,19,144,148,13
20,1.5789473684210527,20,115,118,13
21,1.5789473684210527,21,121,123,13
22,1.5789473684210527,22,113,114,13
23,1.5789473684210527,23,179,184,15
24,1.5789473684210527,24,54,54,9
25,1.5789473684210527,25,90,89,11
26,1.5789473684210527,26,75,75,11
27,1.5789473684210527,27,130,131,14
28,1.5789473684210527,28,204,207,17
29,1.5789473684210527,29,169,173,18
30,1.5789473684210527,30,185,187,17
31,1.5789473684210527,31,165,170,15
32,1.5789473684210527,32,167,169,14
33,1.5789473684210527,33,84,85,12
34,1.5789473684210527,34,97,99,12
35,1.5789473684210527,35,154,158,14
36,1.5789473684210527,36,113,114,15
37,1.5789473684210527,37,114,116,13
38,1.5789473684210527,38,183,186,14
39,1.5789473684210527,39,118,121,14
40,3.1578947368421053,40,45,44,8
41,3.1578947368421053,41,37,36,8
42,3.1578947368421053,42,29,28,7
43,3.1578947368421053,43,26,25,7
44,3.1578947368421053,44,63,62,10
45,3.1578947368421053,45,52,51,9
46,3.1578947368421053,46,68,67,11
47,3.1578947368421053,47,44,43,9
48,3.1578947368421053,48,45,44,9
49,3.1578947368421053,49,66,65,10
50,3.1578947368421053,50,55,54,11
51,3.1578947368421053,51,63,62,10
52,3.1578947368421053,52,32,31,7
53,3.1578947368421053,53,56,55,11
54,3.1578947368421053,54,41,40,9
55,3.1578947368421053,55,75,74,10
56,3.1578947368421053,56,44,43,10
57,3.1578947368421053,57,51,50,10
58,3.1578947368421053,58,65,65,10
59,3.1578947368421053,59,39,38,7
60,4.7368421052631575,60,18,17,6
61,4.7368421052631575,61,16,15,5
62,4.7368421052631575,62,23,22,7
63,4.7368421052631575,63,26,25,8
64,4.7368421052631575,64,29,28,7
65,4.7368421052631575,65,21,20,6
66,4.7368421052631575,66,20,19,5
67,4.7368421052631575,67,22,21,7
68,4.7368421052631575,68,19,18,6
69,4.7368421052631575,69,23,22,6
70,4.7368421052631575,70,38,37,9
71,4.7368421052631575,71,23,22,6
72,4.7368421052631575,72,30,29,7
73,4.7368421052631575,73,17,16,5
74,4.7368421052631575,74,23,22,6
75,4.7368421052631575,75,22,21,6
76,4.7368421052631575,76,25,24,7
77,4.7368421052631575,77,25,24,7
78,4.7368421052631575,78,27,26,7
79,4.7368421052631575,79,28,27,8
80,6.315789473684211,80,14,13,5
81,6.315789473684211,81,17,16,5
82,6.315789473684211,82,10,9,4
83,6.315789473684211,83,13,12,5
84,6.315789473684211,84,14,13,5
85,6.315789473684211,85,16,15,5
86,6.315789473684211,86,12,11,5
87,6.315789473684211,87,12,11,5
88,6.315789473684211,88,15,14,5
89,6.315789473684211,89,10,9,4
90,6.315789473684211,90,12,11,4
91,6.315789473684211,91,22,21,7
92,6.315789473684211,92,12,11,4
93,6.315789473684211,93,12,11,5
94,6.315789473684211,94,16,15,5
95,6.315789473684211,95,12,11,5
96,6.315789473684211,96,12,11,4
97,6.315789473684211,97,17,16,6
98,6.315789473684211,98,17,16,5
99,6.315789473684211,99,10,9,5
100,7.894736842105264,100,14,13,5
101,7.894736842105264,101,18,17,6
102,7.894736842105264,102,12,11,5
103,7.894736842105264,103,14,13,5
104,7.894736842105264,104,12,11,4
105,7.894736842105264,105,10,9,4
106,7.894736842105264,106,13,12,5
107,7.894736842105264,107,8,7,4
108,7.894736842105264,108,10,9,4
109,7.894736842105264,109,13,12,5
110,7.894736842105264,110,12,11,4
111,7.894736842105264,111,12,11,4
112,7.894736842105264,112,12,11,4
113,7.894736842105264,113,16,15,5
114,7.894736842105264,114,18,17,5
115,7.894736842105264,115,17,16,5
116,7.894736842105264,116,18,17,5
117,7.894736842105264,117,16,15,6
118,7.894736842105264,118,12,11,4
119,7.894736842105264,119,14,13,5
120,9.473684210526315,120,11,10,4
121,9.473684210526315,121,10,9,4
