,truck_max_speed,Run,Extinguished,On Fire,Step
0,1,0,1358,0.9967676767674101,140
1,1,1,874,0.7103030303029192,105
2,1,2,1296,0.9765656565654008,181
3,1,3,1232,0.9884848484845863,187
4,1,4,1354,0.950606060605819,149
5,1,5,1231,0.9587878787876327,137
6,1,6,1256,0.8273737373735627,153
7,1,7,1478,0.9196969696967449,217
8,1,8,912,0.7862626262624739,118
9,1,9,1263,0.878484848484646,146
10,1,10,1290,0.9319191919189604,126
11,1,11,856,0.723131313131195,101
12,1,12,1319,0.9617171717169241,185
13,1,13,1515,0.9720202020199488,217
14,1,14,1242,0.9581818181815724,153
15,1,15,1193,0.9946464646461991,148
16,1,16,1510,0.878484848484646,213
17,1,17,957,0.8140404040402366,113
18,1,18,895,0.7312121212119987,102
19,1,19,1294,0.9876767676765059,144
20,1,20,1426,0.9314141414139102,139
21,1,21,1393,0.9914141414138776,162
22,1,22,1115,0.9370707070704728,145
23,1,23,1149,0.9840404040401443,172
24,1,24,1069,0.9609090909088437,129
25,1,25,1153,0.9494949494947085,136
26,1,26,1408,0.9784848484845917,200
27,1,27,1338,0.9465656565654171,158
28,1,28,1213,0.9876767676765059,140
29,1,29,1343,0.8760606060604049,136
30,1,30,1493,0.9902020202017571,196
31,1,31,1286,0.9072727272725092,131
32,1,32,1404,0.9578787878785423,164
33,1,33,1037,0.9336363636361312,161
34,1,34,840,0.7373737373736116,99
35,1,35,889,0.7158585858584717,95
36,1,36,1399,0.9627272727270245,169
37,1,37,1004,0.7433333333332043,109
38,1,38,1097,0.9347474747472417,151
39,1,39,893,0.8550505050503153,148
40,1,40,1024,0.7237373737372553,111
41,1,41,977,0.8877777777775703,126
42,1,42,1324,0.9675757575755067,145
43,1,43,1249,0.77767676767662,142
44,1,44,1356,0.9796969696967123,179
45,1,45,1399,0.9017171717169566,216
46,1,46,1272,0.935252525252292,142
47,1,47,1499,0.9193939393937147,198
48,1,48,1125,0.8906060606058516,148
49,1,49,1321,0.7936363636362073,161
50,2,50,966,0.40636363636363887,61
51,2,51,976,0.4192929292929319,61
52,2,52,976,0.42959595959596225,62
53,2,53,1147,0.44121212121212394,63
54,2,54,962,0.420404040404043,62
55,2,55,1100,0.46656565656565946,63
56,2,56,1248,0.43515151515151784,63
57,2,57,845,0.3961616161616186,64
58,2,58,1317,0.3974747474747499,61
59,2,59,1052,0.4558585858585887,61
60,2,60,1044,0.46000000000000285,62
61,2,61,1295,0.4706060606060635,63
62,2,62,1007,0.4862626262626293,110
63,2,63,970,0.38000000000000234,64
64,2,64,1012,0.3912121212121236,63
65,2,65,990,0.4640404040404069,63
66,2,66,1100,0.3971717171717196,62
67,2,67,782,0.40393939393939643,61
68,2,68,975,0.37474747474747705,60
