,wind_strength,Run,Extinguished,On Fire,Step
0,0.0,0,992,0.3820634920634787,91
1,0.0,1,715,0.2512698412698467,71
2,0.0,2,374,0.13587301587301792,34
3,0.0,3,490,0.19174603174603555,54
4,0.0,4,475,0.1687301587301618,48
5,0.0,5,387,0.14158730158730382,44
6,0.0,6,443,0.16111111111111395,49
7,0.0,7,660,0.2207936507936555,60
8,0.0,8,971,0.7373015873015231,136
9,0.0,9,360,0.14666666666666905,33
10,0.0,10,502,0.16936507936508247,46
11,0.0,11,530,0.18396825396825753,51
12,0.0,12,773,0.28809523809523824,64
13,0.0,13,613,0.2130158730158775,61
14,0.0,14,265,0.09555555555555634,34
15,0.0,15,444,0.16380952380952674,47
16,0.0,16,587,0.2138095238095283,55
17,0.0,17,360,0.13174603174603366,34
18,0.0,18,298,0.13571428571428776,36
19,0.0,19,951,0.38174603174601845,80
20,0.0,20,917,0.39587301587300056,77
21,0.0,21,788,0.2584126984127028,63
22,0.0,22,332,0.131111111111113,33
23,0.0,23,598,0.356666666666657,76
24,0.0,24,1199,0.6720634920634372,152
25,0.0,25,433,0.14460317460317693,47
26,0.0,26,938,0.4433333333333112,93
27,0.0,27,353,0.12365079365079532,41
28,0.0,28,1114,0.6915873015872439,138
29,0.0,29,344,0.13746031746031956,30
30,0.0,30,1497,0.7239682539681916,127
31,0.0,31,392,0.12523809523809695,37
32,0.0,32,740,0.31587301587301203,68
33,0.0,33,904,0.33809523809523107,79
34,0.0,34,382,0.12555555555555728,41
35,0.0,35,1073,0.5231746031745697,88
36,0.0,36,247,0.09492063492063568,31
37,0.0,37,281,0.10920634920635042,33
38,0.0,38,296,0.10888888888889009,36
39,0.0,39,345,0.1425396825396848,39
40,0.0,40,423,0.1692063492063523,47
41,0.0,41,419,0.1412698412698435,46
42,0.0,42,1160,0.5077777777777465,86
43,0.0,43,365,0.15222222222222478,42
44,0.0,44,502,0.17746031746032082,49
45,0.0,45,267,0.09492063492063568,39
46,0.0,46,957,0.5263492063491724,103
47,0.0,47,553,0.2509523809523864,62
48,0.0,48,823,0.37777777777776506,74
49,0.0,49,526,0.19269841269841653,57
50,0.6122448979591837,50,339,0.13587301587301792,38
51,0.6122448979591837,51,358,0.12825396825397006,37
52,0.6122448979591837,52,773,0.3092063492063463,68
53,0.6122448979591837,53,302,0.1263492063492081,33
54,0.6122448979591837,54,495,0.16682539682539985,44
55,0.6122448979591837,55,363,0.14873015873016118,37
56,0.6122448979591837,56,631,0.20650793650794078,57
57,0.6122448979591837,57,553,0.18111111111111458,42
58,0.6122448979591837,58,494,0.16984126984127296,53
59,0.6122448979591837,59,791,0.4182539682539497,75
60,0.6122448979591837,60,328,0.11317460317460451,34
61,0.6122448979591837,61,549,0.20539682539682963,53
62,0.6122448979591837,62,405,0.18111111111111458,46
63,0.6122448979591837,63,445,0.1477777777777802,46
64,0.6122448979591837,64,678,0.2636507936507973,73
65,0.6122448979591837,65,810,0.4661904761904508,97
66,0.6122448979591837,66,1043,0.42539682539680584,95
67,0.6122448979591837,67,1079,0.4914285714285424,87
68,0.6122448979591837,68,481,0.1739682539682572,47
