,steps_to_extinguishment,Run,Extinguished,On Fire,Step
0,1.0,0,918,0.40747474747475,61
1,1.0,1,978,0.39353535353535596,63
2,1.0,2,1053,0.3838383838383862,73
3,1.0,3,1037,0.39191919191919433,60
4,1.0,4,868,0.4091919191919217,63
5,1.0,5,1130,0.4374747474747502,66
6,1.0,6,877,0.376666666666669,57
7,1.0,7,1250,0.4342424242424269,62
8,1.0,8,972,0.42848484848485113,106
9,1.0,9,1010,0.3891919191919216,63
10,1.0,10,753,0.4088888888888914,61
11,1.0,11,957,0.3664646464646487,60
12,1.0,12,836,0.39272727272727515,62
13,1.0,13,880,0.34909090909091123,66
14,1.0,14,1030,0.4388888888888916,61
15,1.0,15,894,0.3852525252525276,61
16,1.0,16,804,0.40555555555555806,62
17,1.0,17,862,0.39979797979798226,63
18,1.0,18,1040,0.40606060606060856,62
19,1.0,19,1050,0.4640404040404069,67
20,1.0,20,1026,0.41818181818182076,63
21,1.0,21,1028,0.38606060606060844,62
22,1.0,22,935,0.414444444444447,63
23,1.0,23,944,0.3904040404040428,62
24,1.0,24,973,0.37525252525252756,60
25,1.0,25,877,0.3896969696969721,64
26,1.0,26,1012,0.3728282828282851,61
27,1.0,27,974,0.3404040404040425,60
28,1.0,28,729,0.37474747474747705,63
29,1.0,29,1151,0.43676767676767947,62
30,1.0,30,930,0.3823232323232347,60
31,1.0,31,872,0.4393939393939421,68
32,1.0,32,1102,0.40515151515151765,88
33,1.0,33,820,0.335959595959598,61
34,1.0,34,891,0.4031313131313156,60
35,1.0,35,979,0.3905050505050529,61
36,1.0,36,1089,0.4513131313131341,65
37,1.0,37,1088,0.42898989898990164,62
38,1.0,38,1195,0.46060606060606346,62
39,1.0,39,1286,0.4498989898989927,65
40,1.0,40,709,0.42232323232323493,61
41,1.0,41,1174,0.42949494949495215,63
42,1.0,42,1794,0.8113131313129653,119
43,1.0,43,1074,0.37525252525252756,61
44,1.0,44,900,0.372727272727275,60
45,1.0,45,1086,0.40747474747475,60
46,1.0,46,855,0.33323232323232527,62
47,1.0,47,1148,0.44757575757576035,62
48,1.0,48,894,0.42434343434343696,64
49,1.0,49,930,0.32030303030303225,59
50,2.0,50,1687,0.9716161616159086,137
51,2.0,51,1631,0.9057575757573585,129
52,2.0,52,1787,0.9711111111108583,153
53,2.0,53,1688,0.9649494949492455,153
54,2.0,54,1599,0.9843434343431744,135
55,2.0,55,1846,0.9895959595956968,156
56,2.0,56,1759,0.9448484848482464,147
57,2.0,57,1405,0.9465656565654171,120
58,2.0,58,1639,0.9493939393936984,136
59,2.0,59,1735,0.994343434343169,140
60,2.0,60,1605,0.8747474747472743,139
61,2.0,61,1474,0.9663636363633862,137
62,2.0,62,1687,0.9804040404037826,149
63,2.0,63,1799,0.9554545454543012,142
64,2.0,64,1514,0.9427272727270354,120
65,2.0,65,1659,0.9546464646462208,161
66,2.0,66,1239,0.7644444444443039,125
67,2.0,67,1728,0.9475757575755176,136
68,2.0,68,1686,0.9766666666664109,123
69,2.0,69,1702,0.9671717171714665,128
70,2.0,70,1476,0.9760606060603506,156
71,2.0,71,1810,0.9841414141411543,137
72,2.0,72,1860,0.9934343434340785,135
73,2.0,73,1593,0.9450505050502664,128
