,num_firetruck,Run,Extinguished,On Fire,Step
0,0,0,0,5886,293
1,0,1,0,5697,225
2,0,2,0,5840,256
3,0,3,0,5881,247
4,0,4,0,5809,308
5,0,5,0,5867,270
6,0,6,0,5752,306
7,0,7,0,5733,217
8,0,8,0,5807,235
9,0,9,0,5778,255
10,0,10,0,5781,292
11,0,11,0,5821,277
12,0,12,0,5870,246
13,0,13,0,5635,371
14,0,14,0,5898,323
15,0,15,0,5891,231
16,0,16,0,5873,267
17,0,17,0,5585,225
18,0,18,0,5885,236
19,0,19,0,5802,271
20,3,20,323,1414,75
21,3,21,313,1302,64
22,3,22,321,1544,69
23,3,23,300,1471,70
24,3,24,403,1717,103
25,3,25,374,2686,129
26,3,26,561,2744,146
27,3,27,311,1068,64
28,3,28,558,2402,116
29,3,29,245,2238,114
30,3,30,608,2552,126
31,3,31,437,1678,83
32,3,32,557,3254,162
33,3,33,670,5246,195
34,3,34,473,2051,121
35,3,35,330,2504,124
36,3,36,340,1980,105
37,3,37,589,3889,147
38,3,38,679,4534,225
39,3,39,443,2238,138
40,6,40,110,117,24
41,6,41,309,333,39
42,6,42,107,130,23
43,6,43,292,402,50
44,6,44,85,105,21
45,6,45,98,106,19
46,6,46,62,71,20
47,6,47,112,128,22
48,6,48,14,17,9
49,6,49,73,74,18
50,6,50,18,19,8
51,6,51,385,452,48
52,6,52,34,43,16
53,6,53,160,206,32
54,6,54,189,207,33
55,6,55,401,445,47
56,6,56,69,77,20
57,6,57,14,14,8
58,6,58,75,110,21
59,6,59,172,191,28
60,9,60,15,14,5
61,9,61,11,10,4
62,9,62,13,12,5
63,9,63,18,17,6
64,9,64,14,13,5
65,9,65,13,12,5
66,9,66,11,10,4
67,9,67,10,9,4
68,9,68,11,10,4
69,9,69,10,9,4
70,9,70,13,12,4
71,9,71,13,12,5
72,9,72,16,15,5
73,9,73,12,11,5
74,9,74,11,10,5
75,9,75,10,9,4
76,9,76,11,10,4
77,9,77,11,10,4
78,9,78,13,12,5
79,9,79,13,12,4
80,12,80,11,10,5
81,12,81,12,11,5
82,12,82,12,11,5
83,12,83,11,10,4
84,12,84,11,10,4
85,12,85,12,11,5
86,12,86,11,10,4
87,12,87,12,11,5
88,12,88,11,10,4
89,12,89,16,15,6
90,12,90,11,10,5
91,12,91,12,11,4
92,12,92,10,9,5
93,12,93,10,9,4
94,12,94,11,10,5
95,12,95,11,10,5
96,12,96,13,12,5
97,12,97,12,11,5
98,12,98,10,9,4
99,12,99,11,10,4
100,15,100,15,14,5
101,15,101,14,13,5
102,15,102,12,11,4
103,15,103,14,13,5
104,15,104,16,15,5
105,15,105,15,14,5
106,15,106,14,13,5
107,15,107,11,10,4
108,15,108,13,12,5
109,15,109,13,12,4
110,15,110,12,11,5
111,15,111,16,15,6
112,15,112,13,12,5
113,15,113,15,14,5
114,15,114,11,10,4
115,15,115,15,14,5
116,15,116,14,13,5
117,15,117,11,10,4
118,15,118,12,11,4
119,15,119,13,12,5
120,18,120,11,10,5
121,18,121,12,11,5
122,18,122,12,11,5
123,18,123,15,14,5
124,18,124,13,12,5
125,18,125,14,13,5
126,18,126,11,10,5
127,18,127,11,10,5
128,18,128,10,9,5
129,18,129,16,15,5
130,18,130,11,10,5
131,18,131,13,12,5
132,18,132,11,10,5
133,18,133,11,10,5
134,18,134,17,16,5
135,18,135,11,10,5
136,18,136,12,11,5
137,18,137,10,9,5
138,18,138,14,13,5
139,18,139,12,11,5
140,22,140,5,4,3
141,22,141,9,8,4
142,22,142,8,7,4
143,22,143,13,12,5
144,22,144,11,10,5
145,22,145,10,9,5
146,22,146,8,7,4
147,22,147,5,4,3
148,22,148,9,8,4
149,22,149,8,7,4
150,22,150,8,7,4
151,22,151,8,7,4
152,22,152,5,4,3
153,22,153,9,8,4
154,22,154,11,10,5
155,22,155,8,7,4
156,22,156,6,5,4
157,22,157,8,7,4
158,22,158,8,7,4
159,22,159,8,7,4
160,25,160,14,13,5
161,25,161,10,9,4
162,25,162,9,8,4
163,25,163,9,8,4
164,25,164,9,8,4
165,25,165,13,12,5
166,25,166,10,9,4
167,25,167,11,10,4
168,25,168,10,9,5
169,25,169,10,9,4
170,25,170,12,11,5
171,25,171,13,12,4
172,25,172,13,12,5
173,25,173,11,10,4
174,25,174,9,8,4
175,25,175,9,8,4
176,25,176,10,9,4
177,25,177,10,9,4
178,25,178,11,10,4
179,25,179,13,12,5
180,28,180,11,10,4
181,28,181,13,12,4
182,28,182,10,9,4
183,28,183,13,12,4
184,28,184,13,12,5
185,28,185,11,10,4
186,28,186,11,10,4
187,28,187,8,7,4
188,28,188,11,10,5
189,28,189,13,12,5
190,28,190,16,15,6
191,28,191,10,9,5
192,28,192,9,8,4
193,28,193,11,10,4
194,28,194,10,9,5
195,28,195,9,8,4
196,28,196,10,9,5
197,28,197,9,8,4
198,28,198,12,11,4
199,28,199,13,12,4
200,31,200,10,9,4
201,31,201,9,8,4
202,31,202,10,9,4
203,31,203,13,12,5
204,31,204,10,9,4
205,31,205,12,11,4
206,31,206,13,12,5
207,31,207,11,10,4
208,31,208,8,7,4
209,31,209,16,15,5
210,31,210,9,8,4
211,31,211,11,10,4
212,31,212,8,7,4
213,31,213,8,7,4
214,31,214,10,9,4
215,31,215,9,8,4
216,31,216,9,8,4
217,31,217,11,10,5
218,31,218,10,9,4
219,31,219,10,9,4
220,34,220,10,9,4
221,34,221,11,10,4
222,34,222,8,7,4
223,34,223,10,9,5
224,34,224,13,12,5
225,34,225,11,10,5
226,34,226,9,8,4
227,34,227,13,12,5
228,34,228,13,12,5
229,34,229,15,14,5
230,34,230,10,9,4
231,34,231,9,8,5
232,34,232,9,8,4
233,34,233,9,8,4
234,34,234,14,13,5
235,34,235,13,12,5
236,34,236,16,15,5
237,34,237,16,15,5
238,34,238,15,14,5
239,34,239,9,8,4
240,37,240,12,11,4
241,37,241,13,12,4
242,37,242,13,12,4
243,37,243,10,9,4
244,37,244,12,11,4
245,37,245,13,12,4
246,37,246,10,9,4
247,37,247,13,12,4
248,37,248,10,9,4
249,37,249,10,9,4
250,37,250,14,13,4
251,37,251,11,10,4
252,37,252,11,10,4
253,37,253,10,9,4
254,37,254,12,11,4
255,37,255,10,9,4
256,37,256,13,12,4
257,37,257,13,12,4
258,37,258,11,10,4
259,37,259,13,12,4
260,41,260,15,14,5
261,41,261,16,15,5
262,41,262,13,12,4
263,41,263,11,10,4
264,41,264,17,16,5
265,41,265,11,10,4
266,41,266,14,13,5
267,41,267,13,12,5
268,41,268,19,18,6
269,41,269,17,16,5
270,41,270,18,17,5
271,41,271,16,15,5
272,41,272,17,16,5
273,41,273,13,12,4
274,41,274,11,10,4
275,41,275,13,12,5
276,41,276,15,14,5
277,41,277,13,12,5
278,41,278,13,12,5
279,41,279,12,11,4
280,44,280,6,5,2
281,44,281,6,5,2
282,44,282,6,5,2
283,44,283,6,5,2
284,44,284,6,5,2
285,44,285,6,5,2
286,44,286,6,5,2
287,44,287,6,5,2
288,44,288,6,5,2
289,44,289,6,5,2
