,num_firetruck,Run,Extinguished,On Fire,Step
0,1,0,353,0.9052525252523083,136
1,1,1,253,0.9693939393936876,137
2,1,2,321,0.806262626262463,130
3,1,3,376,0.9967676767674101,164
4,1,4,261,0.9841414141411543,131
5,1,5,265,0.9838383838381242,130
6,1,6,320,0.7705050505049067,137
7,1,7,226,0.9884848484845863,132
8,1,8,328,0.7878787878786346,123
9,1,9,384,0.9840404040401443,144
10,1,10,262,0.9827272727270137,139
11,1,11,327,0.8485858585856724,137
12,1,12,284,0.9727272727270191,128
13,1,13,343,0.9343434343432016,136
14,1,14,232,0.9971717171714503,130
15,1,15,308,0.7949494949493379,125
16,1,16,549,0.9384848484846134,217
17,1,17,325,0.9947474747472091,163
18,1,18,343,0.9373737373735029,134
19,1,19,349,0.9573737373734921,144
20,1,20,346,0.9111111111108909,145
21,1,21,440,0.9979797979795306,202
22,1,22,274,0.9883838383835762,137
23,1,23,299,0.9275757575755285,127
24,1,24,349,0.836767676767497,141
25,1,25,293,0.9612121212118738,143
26,1,26,283,0.9831313131310538,136
27,1,27,252,0.9839393939391342,132
28,1,28,420,0.994343434343169,150
29,1,29,278,0.9829292929290337,131
30,1,30,328,0.9258585858583577,143
31,1,31,274,0.9780808080805515,130
32,1,32,274,0.8121212121210457,130
33,1,33,394,0.8870707070705,141
34,1,34,307,0.8691919191917218,139
35,1,35,274,0.9817171717169132,134
36,1,36,316,0.9652525252522757,129
37,1,37,221,0.9983838383835708,138
38,1,38,398,0.9924242424239781,138
39,1,39,315,0.8439393939392102,137
40,1,40,356,0.9131313131310919,155
41,1,41,264,0.985656565656305,138
42,1,42,267,0.9844444444441844,129
43,1,43,292,0.9934343434340785,139
44,1,44,305,0.9604040404037935,146
45,1,45,254,0.9765656565654008,131
46,1,46,372,0.8865656565654497,170
47,1,47,424,0.9966666666664,162
48,1,48,358,0.9904040404037772,179
49,1,49,325,0.9820202020199433,136
50,2,50,620,0.8768686868684853,158
51,2,51,545,0.8088888888887242,128
52,2,52,562,0.9519191919189496,136
53,2,53,525,0.9797979797977223,173
54,2,54,591,0.9238383838381568,114
55,2,55,638,0.8384848484846678,138
56,2,56,573,0.7818181818180319,123
57,2,57,524,0.7704040404038967,158
58,2,58,557,0.8230303030301307,144
59,2,59,494,0.8056565656564028,131
60,2,60,461,0.8366666666664869,144
61,2,61,343,0.6721212121211217,122
62,2,62,612,0.9107070707068508,136
63,2,63,535,0.9730303030300492,138
64,2,64,569,0.7544444444443094,157
65,2,65,545,0.8338383838382056,129
66,2,66,639,0.9098989898987704,139
67,2,67,569,0.9596969696967231,122
68,2,68,529,0.9547474747472309,124
69,2,69,548,0.7192929292928133,130
70,2,70,506,0.782121212121062,114
71,2,71,405,0.9963636363633699,136
72,2,72,549,0.9457575757573368,140
73,2,73,532,0.854444444444255,127
74,2,74,385,0.5789898989898592,96
75,2,75,366,0.9985858585855909,132
76,2,76,582,0.9302020202017897,135
77,2,77,548,0.8276767676765928,126
78,2,78,682,0.9692929292926775,180
79,2,79,590,0.924343434343207,168
80,2,80,363,0.6435353535352787,118
81,2,81,624,0.992323232322968,192
82,2,82,542,0.7867676767675241,122
83,2,83,330,0.6323232323231636,121
84,2,84,501,0.8751515151513145,140
85,2,85,516,0.9817171717169132,136
86,2,86,589,0.926464646464418,135
87,2,87,512,0.9806060606058027,142
88,2,88,446,0.7122222222221101,127
89,2,89,561,0.7954545454543881,131
90,2,90,617,0.8469696969695116,159
91,2,91,528,0.82151515151498,144
92,2,92,487,0.725151515151396,125
93,2,93,690,0.959292929292683,143
94,2,94,549,0.8385858585856778,133
95,2,95,548,0.82141414141397,128
96,2,96,560,0.7115151515150397,135
97,2,97,443,0.9858585858583251,131
98,2,98,377,0.9859595959593351,132
99,2,99,569,0.8627272727270788,132
100,3,100,486,0.6547474747473938,135
101,3,101,766,0.8984848484846352,150
102,3,102,646,0.8856565656563593,143
103,3,103,722,0.9520202020199596,129
104,3,104,839,0.8573737373735464,121
105,3,105,724,0.6778787878786944,120
106,3,106,730,0.7367676767675513,133
107,3,107,697,0.9519191919189496,136
108,3,108,372,0.5363636363636197,70
109,3,109,763,0.885050505050299,127
110,3,110,694,0.8459595959594112,136
111,3,111,904,0.8584848484846569,131
112,3,112,709,0.8393939393937582,133
113,3,113,590,0.5730303030302665,104
114,3,114,629,0.7552525252523897,142
115,3,115,520,0.6741414141413227,116
116,3,116,564,0.6702020202019309,125
117,3,117,568,0.6337373737373042,102
118,3,118,653,0.5553535353535084,95
119,3,119,689,0.9786868686866118,126
120,3,120,597,0.5609090909090609,107
121,3,121,785,0.9401010101007742,128
122,3,122,882,0.6876767676766689,115
123,3,123,791,0.9372727272724929,135
124,3,124,653,0.8888888888886808,146
125,3,125,724,0.926666666666438,147
126,3,126,500,0.5777777777777386,84
127,3,127,657,0.7929292929291369,131
128,3,128,823,0.7279797979796773,116
129,3,129,1056,0.9188888888886645,157
130,3,130,780,0.8536363636361747,133
131,3,131,691,0.7479797979796664,133
132,3,132,505,0.5699999999999651,102
133,3,133,635,0.8909090909088817,142
134,3,134,666,0.9320202020199705,146
135,3,135,744,0.7398989898988627,125
136,3,136,736,0.9204040404038152,145
137,3,137,689,0.7452525252523952,124
138,3,138,964,0.8184848484846786,130
139,3,139,726,0.8256565656563919,119
140,3,140,572,0.6548484848484039,111
141,3,141,763,0.893737373737163,136
142,3,142,711,0.6768686868685939,126
143,3,143,567,0.6213131313130685,99
144,3,144,808,0.9252525252522974,128
145,3,145,694,0.5575757575757294,95
