,num_firetruck,Run,Extinguished,On Fire,Step
0,0,0,0,5904,264
1,0,1,0,5722,259
2,0,2,0,5761,250
3,0,3,0,5856,253
4,0,4,0,5877,269
5,0,5,0,5769,251
6,0,6,0,5761,269
7,0,7,0,5791,240
8,0,8,0,5780,255
9,0,9,0,5760,265
10,6,10,42,48,16
11,6,11,589,773,61
12,6,12,112,135,21
13,6,13,25,26,12
14,6,14,455,538,60
15,6,15,128,166,23
16,6,16,49,60,19
17,6,17,111,116,23
18,6,18,58,65,18
19,6,19,753,1308,90
20,13,20,11,10,5
21,13,21,10,9,5
22,13,22,12,11,5
23,13,23,15,14,5
24,13,24,15,14,5
25,13,25,11,10,5
26,13,26,12,11,5
27,13,27,13,12,5
28,13,28,11,10,5
29,13,29,12,11,5
30,20,30,10,9,4
31,20,31,7,6,4
32,20,32,10,9,4
33,20,33,10,9,4
34,20,34,9,8,4
35,20,35,8,7,4
36,20,36,10,9,4
37,20,37,9,8,4
38,20,38,7,6,4
39,20,39,10,9,4
40,26,40,13,12,5
41,26,41,13,12,5
42,26,42,13,12,5
43,26,43,17,16,5
44,26,44,17,16,5
45,26,45,15,14,5
46,26,46,16,15,6
47,26,47,15,14,5
48,26,48,14,13,5
49,26,49,15,14,5
50,33,50,19,18,6
51,33,51,12,11,5
52,33,52,10,9,4
53,33,53,12,11,4
54,33,54,9,8,4
55,33,55,13,12,5
56,33,56,15,14,5
57,33,57,17,16,5
58,33,58,11,10,5
59,33,59,15,14,5
60,40,60,13,12,5
61,40,61,17,16,5
62,40,62,17,16,6
63,40,63,13,12,4
64,40,64,11,10,4
65,40,65,10,9,4
66,40,66,11,10,5
67,40,67,12,11,4
68,40,68,11,10,5
69,40,69,11,10,4
70,46,70,3,2,1
71,46,71,3,2,1
72,46,72,3,2,1
73,46,73,3,2,1
74,46,74,3,2,1
75,46,75,3,2,1
76,46,76,3,2,1
77,46,77,3,2,1
78,46,78,3,2,1
79,46,79,3,2,1
80,53,80,5,4,2
81,53,81,6,5,2
82,53,82,5,4,2
83,53,83,5,4,2
84,53,84,6,5,2
85,53,85,5,4,2
86,53,86,5,4,2
87,53,87,6,5,2
88,53,88,5,4,2
89,53,89,5,4,2
90,60,90,8,7,2
91,60,91,7,6,2
92,60,92,8,7,3
93,60,93,7,6,2
94,60,94,7,6,2
95,60,95,7,6,2
96,60,96,8,7,3
97,60,97,8,7,3
98,60,98,7,6,2
99,60,99,8,7,3
