,truck_strategy,Run,Extinguished,On Fire,Step
0,1.0,0,2165,0.661717171717087,111
1,1.0,1,1570,0.5008080808080835,68
2,1.0,2,2087,0.6984848484847438,119
3,1.0,3,1734,0.609191919191863,101
4,1.0,4,1856,0.7284848484847275,117
5,1.0,5,1193,0.426363636363639,61
6,1.0,6,1159,0.4456565656565684,64
7,1.0,7,1316,0.4646464646464675,78
8,1.0,8,1232,0.39808080808081053,61
9,1.0,9,1275,0.4390909090909118,60
10,1.0,10,1540,0.5361616161615996,90
11,1.0,11,1679,0.5126262626262589,96
12,1.0,12,1530,0.6176767676767069,106
13,1.0,13,1484,0.4202020202020228,67
14,1.0,14,1383,0.4642424242424271,92
15,1.0,15,1199,0.432323232323235,62
16,1.0,16,1009,0.3420202020202041,60
17,1.0,17,1451,0.4823232323232353,65
18,1.0,18,1223,0.5431313131312928,64
19,1.0,19,1233,0.38717171717171955,62
20,1.0,20,1091,0.4009090909090934,62
21,1.0,21,1483,0.41616161616161873,71
22,1.0,22,1397,0.5148484848484799,89
23,1.0,23,1403,0.47080808080808373,74
24,1.0,24,1276,0.40595959595959846,62
25,1.0,25,2269,0.90898989898968,143
26,1.0,26,1523,0.5241414141414041,92
27,1.0,27,1321,0.4210101010101036,62
28,1.0,28,978,0.4088888888888914,63
29,1.0,29,1279,0.46686868686868976,64
30,1.0,30,1051,0.4882828282828313,81
31,1.0,31,1224,0.4501010101010129,64
32,1.0,32,1251,0.48303030303030603,74
33,1.0,33,1401,0.5136363636363593,72
34,1.0,34,1458,0.5161616161616105,91
35,1.0,35,1332,0.5419191919191723,94
36,1.0,36,1306,0.4086868686868712,65
37,1.0,37,1461,0.6295959595958923,113
38,1.0,38,1015,0.4250505050505077,62
39,1.0,39,1048,0.37444444444444674,62
40,1.0,40,1637,0.48404040404040705,90
41,1.0,41,1152,0.41727272727272985,68
42,1.0,42,2219,0.7987878787877196,122
43,1.0,43,1277,0.49727272727273036,63
44,1.0,44,1069,0.43515151515151784,62
45,1.0,45,1271,0.43444444444444713,62
46,1.0,46,1498,0.4828282828282858,65
47,1.0,47,1254,0.4509090909090937,64
48,1.0,48,1512,0.46707070707070997,64
49,1.0,49,1324,0.49717171717172026,76
50,1.0,50,1918,0.5757575757575377,101
51,1.0,51,1380,0.5279797979797859,68
52,1.0,52,1393,0.44303030303030577,63
53,1.0,53,1280,0.4260606060606087,61
54,1.0,54,2061,0.8431313131311299,116
55,1.0,55,1378,0.4194949494949521,68
56,1.0,56,1465,0.5160606060606004,63
57,1.0,57,1471,0.46505050505050793,72
58,1.0,58,1179,0.39757575757576,64
59,1.0,59,1462,0.46676767676767966,65
60,1.0,60,1323,0.4640404040404069,72
61,1.0,61,1537,0.49767676767677077,69
62,1.0,62,1343,0.6024242424241899,106
63,1.0,63,1411,0.4315151515151542,80
64,1.0,64,1181,0.487979797979801,67
65,1.0,65,1477,0.4684848484848514,65
66,1.0,66,1598,0.47707070707071003,91
67,1.0,67,1101,0.4460606060606088,64
68,1.0,68,1624,0.5505050505050262,100
69,1.0,69,1358,0.4319191919191946,67
70,1.0,70,1372,0.46535353535353824,85
71,1.0,71,1264,0.45878787878788163,64
72,1.0,72,1617,0.5098989898989876,63
73,1.0,73,1330,0.6077777777777224,106
74,1.0,74,1279,0.43080808080808347,88
75,1.0,75,1574,0.41797979797980056,61
76,1.0,76,1288,0.49535353535353843,63
77,1.0,77,1619,0.4943434343434374,100
78,1.0,78,1558,0.5114141414141383,85
79,1.0,79,2197,0.8660606060604104,138
80,1.0,80,1236,0.4809090909090939,67
81,1.0,81,1423,0.4626262626262655,66
82,1.0,82,1382,0.48919191919192223,71
83,1.0,83,1328,0.45282828282828563,65
84,1.0,84,1506,0.4147474747474773,62
85,1.0,85,1069,0.41212121212121466,63
86,1.0,86,1249,0.4318181818181845,63
87,1.0,87,1344,0.4271717171717198,62
88,1.0,88,1313,0.5099999999999977,96
89,1.0,89,1670,0.4828282828282858,89
90,1.0,90,1333,0.4574747474747503,64
91,1.0,91,1453,0.44707070707070984,75
92,1.0,92,1094,0.450202020202023,64
93,1.0,93,1329,0.5353535353535193,103
94,1.0,94,1230,0.39292929292929535,63
95,1.0,95,1469,0.47141414141414434,89
96,1.0,96,1491,0.45474747474747756,64
97,1.0,97,1031,0.5332323232323083,110
98,1.0,98,1687,0.5386868686868508,97
99,1.0,99,1868,0.6137373737373151,103
100,1.0,100,1509,0.4863636363636394,65
101,1.0,101,1604,0.508484848484847,99
102,1.0,102,1364,0.408484848484851,65
103,1.0,103,1186,0.45313131313131594,93
104,1.0,104,1848,0.6241414141413498,101
105,1.0,105,1290,0.39979797979798226,61
106,1.0,106,1471,0.46595959595959885,65
107,1.0,107,1412,0.41080808080808334,66
108,1.0,108,1337,0.46616161616161905,96
109,1.0,109,1414,0.4266666666666693,63
110,1.0,110,1637,0.482020202020205,69
111,1.0,111,1142,0.37575757575757807,64
112,1.0,112,1229,0.4076767676767702,63
