,density,Run,Extinguished,On Fire,Step
0,0.0,0,0,0.0,6
1,0.0,1,0,0.0,6
2,0.0,2,0,0.0,6
3,0.0,3,0,0.0,6
4,0.0,4,0,0.0,6
5,0.0,5,0,0.0,6
6,0.0,6,0,0.0,6
7,0.0,7,0,0.0,6
8,0.0,8,0,0.0,6
9,0.0,9,0,0.0,6
10,0.0,10,0,0.0,6
11,0.0,11,0,0.0,6
12,0.0,12,0,0.0,6
13,0.0,13,0,0.0,6
14,0.0,14,0,0.0,6
15,0.0,15,0,0.0,6
16,0.0,16,0,0.0,6
17,0.0,17,0,0.0,6
18,0.0,18,0,0.0,6
19,0.0,19,0,0.0,6
20,0.0,20,0,0.0,6
21,0.0,21,0,0.0,6
22,0.0,22,0,0.0,6
23,0.0,23,0,0.0,6
24,0.0,24,0,0.0,6
25,0.0,25,0,0.0,6
26,0.0,26,0,0.0,6
27,0.0,27,0,0.0,6
28,0.0,28,0,0.0,6
29,0.0,29,0,0.0,6
30,0.0,30,0,0.0,6
31,0.0,31,0,0.0,6
32,0.0,32,0,0.0,6
33,0.0,33,0,0.0,6
34,0.0,34,0,0.0,6
35,0.0,35,0,0.0,6
36,0.0,36,0,0.0,6
37,0.0,37,0,0.0,6
38,0.0,38,0,0.0,6
39,0.0,39,0,0.0,6
40,0.0,40,0,0.0,6
41,0.0,41,0,0.0,6
42,0.0,42,0,0.0,6
43,0.0,43,0,0.0,6
44,0.0,44,0,0.0,6
45,0.0,45,0,0.0,6
46,0.0,46,0,0.0,6
47,0.0,47,0,0.0,6
48,0.0,48,0,0.0,6
49,0.0,49,0,0.0,6
50,0.0,50,0,0.0,6
51,0.0,51,0,0.0,6
52,0.0,52,0,0.0,6
53,0.0,53,0,0.0,6
54,0.0,54,0,0.0,6
55,0.0,55,0,0.0,6
56,0.0,56,0,0.0,6
57,0.0,57,0,0.0,6
58,0.0,58,0,0.0,6
59,0.0,59,0,0.0,6
60,0.0,60,0,0.0,6
61,0.0,61,0,0.0,6
62,0.0,62,0,0.0,6
63,0.0,63,0,0.0,6
64,0.0,64,0,0.0,6
65,0.0,65,0,0.0,6
66,0.0,66,0,0.0,6
67,0.0,67,0,0.0,6
68,0.0,68,0,0.0,6
69,0.0,69,0,0.0,6
70,0.0,70,0,0.0,6
71,0.0,71,0,0.0,6
72,0.0,72,0,0.0,6
73,0.0,73,0,0.0,6
74,0.0,74,0,0.0,6
75,0.0,75,0,0.0,6
76,0.0,76,0,0.0,6
77,0.0,77,0,0.0,6
78,0.0,78,0,0.0,6
79,0.0,79,0,0.0,6
80,0.0,80,0,0.0,6
81,0.0,81,0,0.0,6
82,0.0,82,0,0.0,6
83,0.0,83,0,0.0,6
84,0.0,84,0,0.0,6
85,0.0,85,0,0.0,6
86,0.0,86,0,0.0,6
87,0.0,87,0,0.0,6
88,0.0,88,0,0.0,6
89,0.0,89,0,0.0,6
90,0.0,90,0,0.0,6
91,0.0,91,0,0.0,6
92,0.0,92,0,0.0,6
93,0.0,93,0,0.0,6
94,0.0,94,0,0.0,6
95,0.0,95,0,0.0,6
96,0.0,96,0,0.0,6
97,0.0,97,0,0.0,6
98,0.0,98,0,0.0,6
99,0.0,99,0,0.0,6
100,0.014492753623188406,100,0,0.0,6
101,0.014492753623188406,101,0,0.0,6
102,0.014492753623188406,102,0,0.0,6
103,0.014492753623188406,103,0,0.0,6
104,0.014492753623188406,104,0,0.0,6
105,0.014492753623188406,105,0,0.0,6
106,0.014492753623188406,106,0,0.0,6
107,0.014492753623188406,107,0,0.0,6
108,0.014492753623188406,108,0,0.0,6
109,0.014492753623188406,109,0,0.0,6
110,0.014492753623188406,110,0,0.0,6
111,0.014492753623188406,111,0,0.0,6
112,0.014492753623188406,112,0,0.0,6
113,0.014492753623188406,113,0,0.0,6
114,0.014492753623188406,114,0,0.0,6
115,0.014492753623188406,115,0,0.0,6
116,0.014492753623188406,116,0,0.0,6
117,0.014492753623188406,117,0,0.0,6
118,0.014492753623188406,118,0,0.0,6
119,0.014492753623188406,119,0,0.0,6
120,0.014492753623188406,120,0,0.0,6
121,0.014492753623188406,121,0,0.0,6
122,0.014492753623188406,122,0,0.0,6
123,0.014492753623188406,123,0,0.0,6
124,0.014492753623188406,124,0,0.0,6
125,0.014492753623188406,125,0,0.0,6
126,0.014492753623188406,126,0,0.0,6
127,0.014492753623188406,127,0,0.0,6
128,0.014492753623188406,128,0,0.0,6
129,0.014492753623188406,129,0,0.0,6
130,0.014492753623188406,130,0,0.0,6
131,0.014492753623188406,131,0,0.0,6
132,0.014492753623188406,132,0,0.0,6
133,0.014492753623188406,133,0,0.0,6
134,0.014492753623188406,134,0,0.0,6
135,0.014492753623188406,135,0,0.0,6
136,0.014492753623188406,136,0,0.0,6
137,0.014492753623188406,137,0,0.0,6
138,0.014492753623188406,138,0,0.0,6
139,0.014492753623188406,139,0,0.0,6
140,0.014492753623188406,140,0,0.0,6
141,0.014492753623188406,141,0,0.0,6
142,0.014492753623188406,142,0,0.0069,12
143,0.014492753623188406,143,0,0.0,6
144,0.014492753623188406,144,0,0.0,6
145,0.014492753623188406,145,0,0.0,6
146,0.014492753623188406,146,0,0.0,6
147,0.014492753623188406,147,0,0.0,6
148,0.014492753623188406,148,0,0.0,6
149,0.014492753623188406,149,0,0.0,6
150,0.014492753623188406,150,0,0.0,6
151,0.014492753623188406,151,0,0.0,6
152,0.014492753623188406,152,0,0.0,6
153,0.014492753623188406,153,0,0.0,6
154,0.014492753623188406,154,0,0.0,6
155,0.014492753623188406,155,0,0.0,6
156,0.014492753623188406,156,0,0.0,6
157,0.014492753623188406,157,0,0.0,6
158,0.014492753623188406,158,0,0.0,6
159,0.014492753623188406,159,0,0.0,6
160,0.014492753623188406,160,0,0.0,6
161,0.014492753623188406,161,0,0.0,6
162,0.014492753623188406,162,0,0.0,6
163,0.014492753623188406,163,0,0.0069,7
164,0.014492753623188406,164,0,0.0,6
