,num_firetruck,Run,Extinguished,On Fire,Step
0,0,0,0,5855,245
1,0,1,0,5740,243
2,0,2,0,5735,209
3,0,3,0,5895,273
4,0,4,0,5906,297
5,0,5,0,5566,222
6,0,6,0,5799,208
7,0,7,0,5871,339
8,0,8,0,5781,240
9,0,9,0,5854,281
10,0,10,0,5830,300
11,0,11,0,5804,326
12,0,12,0,5744,222
13,0,13,0,5820,260
14,0,14,0,5675,344
15,0,15,0,5794,264
16,0,16,0,5807,360
17,0,17,0,5848,379
18,0,18,0,5782,257
19,0,19,0,5787,242
20,0,20,0,5789,258
21,0,21,0,5728,238
22,0,22,0,5654,233
23,0,23,0,5781,291
24,0,24,0,5856,290
25,0,25,0,5757,282
26,0,26,0,5870,248
27,0,27,0,5698,252
28,0,28,0,5821,235
29,0,29,0,5840,279
30,0,30,0,5803,256
31,0,31,0,5817,351
32,0,32,0,5712,263
33,0,33,0,5832,229
34,0,34,0,5823,357
35,0,35,0,5899,258
36,0,36,0,5775,343
37,0,37,0,5755,237
38,0,38,0,5633,250
39,0,39,0,5743,262
40,0,40,0,5791,302
41,0,41,0,5794,253
42,0,42,0,5763,276
43,0,43,0,5743,218
44,0,44,0,5836,265
45,0,45,0,5776,272
46,0,46,0,5649,320
47,0,47,0,5821,296
48,0,48,0,5781,309
49,0,49,0,5697,303
50,1,50,318,4726,178
51,1,51,201,3324,161
52,1,52,282,3161,194
53,1,53,378,5424,211
54,1,54,304,5309,198
55,1,55,293,4557,181
56,1,56,466,5727,263
57,1,57,385,5111,191
58,1,58,332,5548,224
59,1,59,261,4512,167
60,1,60,327,5339,213
61,1,61,243,5534,309
62,1,62,276,3031,167
63,1,63,348,5498,243
64,1,64,322,4346,192
65,1,65,330,5564,234
66,1,66,352,4829,192
67,1,67,301,5208,198
68,1,68,341,5369,193
69,1,69,278,4915,273
70,1,70,357,3649,206
71,1,71,270,4413,188
72,1,72,275,3471,159
73,1,73,320,4647,190
74,1,74,282,4412,175
75,1,75,297,5305,200
76,1,76,214,4682,171
77,1,77,463,5689,228
78,1,78,380,5367,216
79,1,79,226,4767,287
80,1,80,316,5475,211
81,1,81,141,2881,133
82,1,82,265,3237,217
83,1,83,248,4970,206
84,1,84,382,4643,193
85,1,85,339,5207,205
86,1,86,208,3379,171
87,1,87,346,5178,235
88,1,88,294,5186,206
89,1,89,312,5736,246
90,1,90,391,4399,195
91,1,91,319,4917,202
92,1,92,272,3723,141
93,1,93,248,3356,165
94,1,94,382,5169,200
95,1,95,417,5396,248
96,1,96,144,2618,133
97,1,97,202,3698,163
98,1,98,200,2535,146
99,1,99,257,3446,190
100,2,100,596,3941,169
101,2,101,558,5415,205
102,2,102,637,5595,201
103,2,103,273,2669,141
104,2,104,306,3197,138
105,2,105,492,2558,165
106,2,106,506,2763,147
107,2,107,517,4698,176
108,2,108,254,2485,131
109,2,109,437,2236,145
110,2,110,411,4486,179
111,2,111,230,1786,81
112,2,112,307,2272,109
113,2,113,301,1940,89
114,2,114,509,4568,158
115,2,115,255,2323,116
116,2,116,254,2393,92
117,2,117,550,4576,177
118,2,118,396,3446,159
119,2,119,515,5222,201
120,2,120,426,3758,150
121,2,121,458,3494,135
122,2,122,209,1990,108
123,2,123,514,4499,178
124,2,124,488,4625,168
125,2,125,265,2100,118
126,2,126,652,4412,194
127,2,127,545,4501,160
128,2,128,185,1939,86
129,2,129,273,2685,141
130,2,130,270,1692,87
131,2,131,527,3533,177
132,2,132,555,4407,158
133,2,133,242,1827,80
134,2,134,402,3347,133
135,2,135,302,1802,94
136,2,136,282,2002,113
137,2,137,626,4650,165
138,2,138,657,5330,228
139,2,139,426,2957,109
140,2,140,302,2692,141
141,2,141,271,2703,153
142,2,142,259,2690,158
143,2,143,406,3162,157
144,2,144,643,4762,204
145,2,145,510,4353,141
146,2,146,256,2425,139
147,2,147,611,5140,231
148,2,148,341,2869,143
149,2,149,484,4727,159
150,3,150,325,2450,118
151,3,151,277,2090,117
152,3,152,607,2774,145
153,3,153,408,2455,147
154,3,154,386,1388,71
155,3,155,336,1348,70
156,3,156,343,1384,74
157,3,157,467,1774,101
158,3,158,402,1630,91
159,3,159,423,2204,121
160,3,160,266,1235,64
161,3,161,521,1664,96
162,3,162,686,3641,208
163,3,163,324,1375,75
164,3,164,303,1451,76
165,3,165,389,1237,74
166,3,166,388,1607,97
167,3,167,443,1337,70
168,3,168,614,4095,143
169,3,169,412,1590,94
170,3,170,391,1387,79
171,3,171,693,4226,180
172,3,172,482,1843,125
173,3,173,720,4530,230
174,3,174,304,1506,69
175,3,175,328,2323,129
176,3,176,308,2453,121
177,3,177,376,1590,94
178,3,178,371,1345,74
179,3,179,448,2394,137
180,3,180,393,1633,103
181,3,181,311,2277,120
182,3,182,449,2352,100
183,3,183,588,3788,134
184,3,184,306,1346,64
185,3,185,608,3119,161
186,3,186,476,1532,113
187,3,187,523,2370,130
188,3,188,588,2412,144
189,3,189,675,2933,148
190,3,190,566,4189,193
191,3,191,621,3194,150
192,3,192,547,2146,103
193,3,193,401,2095,108
194,3,194,426,1481,84
195,3,195,291,1360,64
196,3,196,380,1939,113
197,3,197,367,1383,74
198,3,198,395,1993,118
199,3,199,540,1963,122
200,4,200,465,1324,68
201,4,201,541,2516,125
202,4,202,789,2280,133
203,4,203,502,1456,77
204,4,204,467,1479,65
205,4,205,510,1422,74
206,4,206,544,1470,81
207,4,207,612,1889,109
208,4,208,499,1963,97
209,4,209,432,1588,90
210,4,210,447,1006,65
211,4,211,918,3760,149
212,4,212,336,1239,68
213,4,213,727,2159,137
214,4,214,839,3311,161
215,4,215,408,1160,73
216,4,216,550,2397,110
217,4,217,694,3334,185
218,4,218,574,2349,103
219,4,219,439,1838,67
220,4,220,495,1683,97
221,4,221,548,1895,123
222,4,222,459,1164,71
223,4,223,355,752,64
224,4,224,429,1114,61
225,4,225,480,1228,71
226,4,226,537,2397,128
227,4,227,470,1316,67
228,4,228,549,1695,102
229,4,229,554,1615,80
230,4,230,555,1573,86
231,4,231,498,2554,149
232,4,232,594,1565,82
233,4,233,663,1765,108
234,4,234,486,1328,65
235,4,235,517,3924,171
236,4,236,457,2531,146
237,4,237,544,1574,85
238,4,238,723,2976,161
239,4,239,472,1323,70
240,4,240,681,1788,117
241,4,241,558,1858,115
242,4,242,679,4577,170
243,4,243,494,1337,78
244,4,244,412,1611,88
245,4,245,626,2299,133
246,4,246,447,1380,78
247,4,247,597,1781,108
248,4,248,443,1378,88
249,4,249,538,1610,73
250,6,250,131,155,26
251,6,251,35,37,15
252,6,252,15,20,9
253,6,253,144,156,27
254,6,254,459,759,70
255,6,255,180,240,34
256,6,256,88,110,22
257,6,257,553,758,61
258,6,258,472,631,54
259,6,259,285,332,40
260,6,260,85,90,22
261,6,261,522,660,57
262,6,262,103,130,28
263,6,263,478,689,57
264,6,264,385,432,47
265,6,265,111,116,25
266,6,266,159,179,29
267,6,267,110,118,26
268,6,268,131,151,29
269,6,269,476,667,62
270,6,270,41,44,17
271,6,271,405,709,62
272,6,272,72,76,21
273,6,273,153,173,30
274,6,274,452,644,67
275,6,275,66,66,17
276,6,276,134,168,28
277,6,277,153,170,27
278,6,278,468,660,57
279,6,279,45,50,17
280,6,280,482,614,54
281,6,281,149,175,28
282,6,282,680,1130,69
283,6,283,130,135,24
284,6,284,111,140,24
285,6,285,82,90,22
286,6,286,120,147,25
287,6,287,113,125,23
288,6,288,96,108,23
289,6,289,508,741,71
290,6,290,52,53,17
291,6,291,92,110,22
292,6,292,489,600,61
293,6,293,42,48,17
294,6,294,32,33,14
295,6,295,87,90,22
296,6,296,82,86,19
297,6,297,109,146,24
298,6,298,100,103,22
299,6,299,506,1204,100
